p,seed,method,evaluation,code,selected,fits,validation_acc,validation_normalized_margin,validation_mean_margin,relative_residual,bank_predicted_z,bank_candidates_scored
17,2002,greedy_probe,9,112,True,11,1.0,2.618512513180826,0.00369620399593968,3.5277651368394233e-14,,
17,2002,greedy_probe,10,114,False,11,1.0,2.188642697356505,0.0037315683098531546,3.624831186291579e-14,,
17,2002,random_full,0,0,False,60,1.0,0.8878098887622361,0.0011653097746967313,3.349400638407669e-14,,
17,2002,random_full,1,10,True,60,1.0,2.5708826301186893,0.003457004202521749,3.449009356339295e-14,,
17,2002,random_probe,0,0,False,11,1.0,0.8766881094450568,0.0011498702270702303,3.679756983463824e-14,,
17,2002,random_probe,1,10,True,11,1.0,2.5678418149799573,0.003444068068838714,3.5245140825864476e-14,,
17,2002,random_probe,2,51,False,11,1.0,1.1463577907680271,0.0017937169118645453,3.435880106628356e-14,,
17,2002,random_probe,3,72,False,11,1.0,2.170599184459436,0.003537870810768754,3.729233983629238e-14,,
17,2002,random_probe,4,60,False,11,0.0,-0.5806220475916826,-0.0005507649558958878,3.424135102094762e-14,,
17,2002,random_probe,5,48,False,11,1.0,2.552466306764489,0.0035227660494235153,3.7653672619064784e-14,,
17,2002,random_probe,6,113,False,11,1.0,1.2635192133625763,0.0015860965336536258,3.5597901336003066e-14,,
17,2002,random_probe,7,118,False,11,1.0,1.1030264987060352,0.001672215789087536,3.649006833843453e-14,,
17,2002,random_probe,8,108,False,11,0.6666666666666666,-0.06503722333294,-5.5841055909898e-05,3.858510932511465e-14,,
17,2002,random_probe,9,127,False,11,0.3333333333333333,0.08988708507551507,0.00012169916672919122,3.583836312987534e-14,,
17,2002,random_probe,10,66,False,11,1.0,1.2594179785711204,0.0012356533841617033,3.75175223754056e-14,,
17,2003,bank,0,98,True,0,,,,,2.710292526219438,128
17,2003,greedy_probe,0,0,False,11,1.0,0.24848696819193336,0.00018767361859799622,3.541586183179309e-14,,
17,2003,greedy_probe,1,8,False,11,1.0,1.4236778384748645,0.001096688170512991,3.748925989139349e-14,,
17,2003,greedy_probe,2,40,False,11,0.8333333333333334,0.23058025043214161,0.00017466388958242013,3.3172245183298154e-14,,
17,2003,greedy_probe,3,12,False,11,1.0,0.8870824202759877,0.000437874972444315,3.3939663511506255e-14,,
17,2003,greedy_probe,4,9,False,11,1.0,1.2782986703799137,0.0009842016481467115,3.649442321382629e-14,,
17,2003,greedy_probe,5,10,False,11,1.0,1.754178312890766,0.0013622085979243595,3.8614690186142037e-14,,
17,2003,greedy_probe,6,74,True,11,1.0,1.8582299767920467,0.0008650687202735782,3.783508009550176e-14,,
17,2003,greedy_probe,7,90,False,11,0.8333333333333334,0.22890469804155164,8.411327612641249e-05,3.936469031121762e-14,,
17,2003,greedy_probe,8,66,False,11,1.0,0.9849748590539583,0.0003363468319796832,3.710735328183575e-14,,
17,2003,greedy_probe,9,106,False,11,1.0,1.7218210025513965,0.0008716588675277692,3.468712426699666e-14,,
17,2003,greedy_probe,10,78,False,11,1.0,1.2224226881626763,0.0010518485735967961,3.5109335965181075e-14,,
17,2003,random_full,0,0,False,60,1.0,0.2596990644752995,0.00019627997089178423,3.92068171776259e-14,,
17,2003,random_full,1,76,True,60,1.0,1.4148967884996615,0.0011683122495481483,3.3401404717155287e-14,,
17,2003,random_probe,0,0,False,11,1.0,0.24848696819193336,0.00018767361859799622,3.541586183179309e-14,,
17,2003,random_probe,1,76,False,11,1.0,1.4054591459652126,0.0011592317705854463,3.653522123645597e-14,,
17,2003,random_probe,2,18,False,11,1.0,0.27917640454191045,0.00021050446938116613,3.380533514036703e-14,,
17,2003,random_probe,3,115,False,11,1.0,1.1807661615884555,0.0005710733694870712,3.727324767506201e-14,,
17,2003,random_probe,4,40,False,11,0.8333333333333334,0.23058025043214161,0.00017466388958242013,3.3172245183298154e-14,,
17,2003,random_probe,5,74,True,11,1.0,1.8582299767920467,0.0008650687202735782,3.783508009550176e-14,,
