p,final_state,points,trajectories,initially_wrong,ever_correct,zero_flips,one_flip,multiple_flips,wrong_to_correct,correct_to_wrong
17,1,666,47,666,666,0,666,0,666,0
17,-1,184,19,184,0,184,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
23,1,588,27,588,588,0,588,0,588,0
23,-1,102,9,102,0,102,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0
all,1,1254,74,1254,1254,0,1254,0,1254,0
all,-1,286,28,286,0,286,0,0,0,0
all,0,0,0,0,0,0,0,0,0,0
