phase,name,p,seed,variant,view,test_a,truth,rtol,horizon,initial_informative_step,raw_argmax_changes,leader_replacements,correctness_flips,correct_to_wrong,wrong_to_correct,last_leader_replacement,last_correctness_flip,final_correct_state,final_winner_count,final_normalized_correct_margin
discovery,p17_s20_cross,17,20,cross,point,14,11,1e-08,59,0,3,3,0,0,0,7,,-1,1,-0.4220975079631169
discovery,p17_s20_cross,17,20,cross,point,15,13,1e-08,59,0,4,4,0,0,0,6,,-1,1,-0.6092320502505285
discovery,p17_s20_cross,17,20,cross,point,16,15,1e-08,59,0,0,0,0,0,0,,,-1,1,-0.5664987609558878
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,59,0,42,42,0,0,0,59,,-1,1,-4.393003406981632
discovery,p17_s20_diag,17,20,diag,point,0,0,1e-08,59,0,3,3,0,0,0,8,,-1,1,-1.23203145719751
discovery,p17_s20_diag,17,20,diag,point,1,2,1e-08,59,0,2,2,0,0,0,7,,-1,1,-3.505601928888708
discovery,p17_s20_diag,17,20,diag,point,2,4,1e-08,59,0,2,2,0,0,0,6,,-1,1,-0.41264091772534217
discovery,p17_s20_diag,17,20,diag,point,3,6,1e-08,59,0,1,1,0,0,0,1,,-1,1,-1.2348824096823587
discovery,p17_s20_diag,17,20,diag,point,4,8,1e-08,59,0,3,3,0,0,0,7,,-1,1,-0.6276837894924086
discovery,p17_s20_diag,17,20,diag,point,5,10,1e-08,59,0,3,3,0,0,0,6,,-1,1,-2.9518058842378934
discovery,p17_s20_diag,17,20,diag,point,6,12,1e-08,59,0,3,3,0,0,0,8,,-1,1,-2.968364347125648
discovery,p17_s20_diag,17,20,diag,point,7,14,1e-08,59,0,1,1,0,0,0,1,,-1,1,-1.0794592935530605
discovery,p17_s20_diag,17,20,diag,point,8,16,1e-08,59,0,3,3,0,0,0,7,,-1,1,-1.5879885428586096
discovery,p17_s20_diag,17,20,diag,point,9,1,1e-08,59,0,2,2,0,0,0,7,,-1,1,-0.2659268206123968
discovery,p17_s20_diag,17,20,diag,point,10,3,1e-08,59,0,2,2,0,0,0,7,,-1,1,-2.0031497439741908
discovery,p17_s20_diag,17,20,diag,point,11,5,1e-08,59,0,4,4,0,0,0,7,,-1,1,-1.7306616946048337
discovery,p17_s20_diag,17,20,diag,point,12,7,1e-08,59,0,5,5,1,0,1,11,11,1,1,0.2514360648158231
discovery,p17_s20_diag,17,20,diag,point,13,9,1e-08,59,0,5,5,0,0,0,6,,-1,1,-2.1688131897760785
discovery,p17_s20_diag,17,20,diag,point,14,11,1e-08,59,0,2,2,0,0,0,7,,-1,1,-0.7772041551758893
discovery,p17_s20_diag,17,20,diag,point,15,13,1e-08,59,0,2,2,0,0,0,7,,-1,1,-1.4931151475429976
discovery,p17_s20_diag,17,20,diag,point,16,15,1e-08,59,0,3,3,0,0,0,6,,-1,1,-0.28350423236818356
discovery,p17_s20_residual,17,20,residual,profile,-1,0,1e-08,59,0,3,3,0,0,0,9,,-1,1,-4.333006923247797
discovery,p17_s20_residual,17,20,residual,point,0,0,1e-08,59,0,7,7,1,0,1,10,10,1,1,0.712625427316507
discovery,p17_s20_residual,17,20,residual,point,1,2,1e-08,59,0,1,1,0,0,0,6,,-1,1,-2.240018655965567
discovery,p17_s20_residual,17,20,residual,point,2,4,1e-08,59,0,1,1,0,0,0,7,,-1,1,-3.1960574105196726
discovery,p17_s20_residual,17,20,residual,point,3,6,1e-08,59,0,3,3,0,0,0,9,,-1,1,-2.481770565997011
discovery,p17_s20_residual,17,20,residual,point,4,8,1e-08,59,0,3,3,0,0,0,7,,-1,1,-3.0319396745113067
discovery,p17_s20_residual,17,20,residual,point,5,10,1e-08,59,0,0,0,0,0,0,,,-1,1,-1.743197957940431
discovery,p17_s20_residual,17,20,residual,point,6,12,1e-08,59,0,0,0,0,0,0,,,-1,1,-1.5617588740756554
discovery,p17_s20_residual,17,20,residual,point,7,14,1e-08,59,0,1,1,0,0,0,7,,-1,1,-0.08775635335051067
discovery,p17_s20_residual,17,20,residual,point,8,16,1e-08,59,0,0,0,0,0,0,,,-1,1,-3.8955324631590744
discovery,p17_s20_residual,17,20,residual,point,9,1,1e-08,59,0,2,2,0,0,0,5,,-1,1,-3.95772257135062
discovery,p17_s20_residual,17,20,residual,point,10,3,1e-08,59,0,3,3,0,0,0,7,,-1,1,-1.7232873104748307
discovery,p17_s20_residual,17,20,residual,point,11,5,1e-08,59,0,2,2,0,0,0,7,,-1,1,-2.7315993970894157
discovery,p17_s20_residual,17,20,residual,point,12,7,1e-08,59,0,4,4,0,0,0,6,,-1,1,-0.7456826714318942
discovery,p17_s20_residual,17,20,residual,point,13,9,1e-08,59,0,2,2,0,0,0,7,,-1,1,-2.6938063807559613
discovery,p17_s20_residual,17,20,residual,point,14,11,1e-08,59,0,1,1,0,0,0,7,,-1,1,-1.1677309421517128
discovery,p17_s20_residual,17,20,residual,point,15,13,1e-08,59,0,3,3,0,0,0,7,,-1,1,-1.1047066066783033
discovery,p17_s20_residual,17,20,residual,point,16,15,1e-08,59,0,2,2,0,0,0,8,,-1,1,-2.7414725476039594
discovery,p17_s21_circ,17,21,circ,profile,-1,0,1e-08,59,0,4,1,1,0,1,7,7,1,1,1.0364508899041827
discovery,p17_s21_circ,17,21,circ,point,0,0,1e-08,59,0,5,1,1,0,1,7,7,1,1,1.0364508652125477
discovery,p17_s21_circ,17,21,circ,point,1,2,1e-08,59,0,3,1,1,0,1,7,7,1,1,1.0364508124661589
discovery,p17_s21_circ,17,21,circ,point,2,4,1e-08,59,0,4,1,1,0,1,7,7,1,1,1.036450839895013
discovery,p17_s21_circ,17,21,circ,point,3,6,1e-08,59,0,5,1,1,0,1,7,7,1,1,1.0364508779050776
discovery,p17_s21_circ,17,21,circ,point,4,8,1e-08,59,0,2,1,1,0,1,7,7,1,1,1.0364507853244918
discovery,p17_s21_circ,17,21,circ,point,5,10,1e-08,59,0,5,1,1,0,1,7,7,1,1,1.036450844394089
discovery,p17_s21_circ,17,21,circ,point,6,12,1e-08,59,0,5,1,1,0,1,7,7,1,1,1.0364508120595721
discovery,p17_s21_circ,17,21,circ,point,7,14,1e-08,59,0,3,1,1,0,1,7,7,1,1,1.0364507866275676
discovery,p17_s21_circ,17,21,circ,point,8,16,1e-08,59,0,3,1,1,0,1,7,7,1,1,1.0364507275721997
