phase,name,p,seed,variant,view,test_a,truth,rtol,event,previous_step,step,old_classes,new_classes,previous_margin,current_margin,previous_tolerance,current_tolerance,current_normalized_margin
discovery,p17_s20_cross,17,20,cross,point,11,5,1e-08,leader_group_replaced,4,5,13,1,9.459914655227109e-05,-7.671942696778344e-05,2.9611951306348893e-10,2.486479494144805e-10,-0.0030854638917571357
discovery,p17_s20_cross,17,20,cross,point,12,7,1e-08,leader_group_replaced,0,1,16,6,5.800825194135495e-06,-1.4793939119808752e-05,3.1009409442434315e-10,3.103857148957796e-10,-0.0004766307987072221
discovery,p17_s20_cross,17,20,cross,point,12,7,1e-08,leader_group_replaced,1,2,6,11,4.150768912095093e-06,-4.2234075147834504e-06,3.103857148957796e-10,3.0976054027299674e-10,-0.00013634427132201203
discovery,p17_s20_cross,17,20,cross,point,13,9,1e-08,leader_group_replaced,2,3,14,5,2.828251006101179e-06,-7.136318516810791e-05,3.0978355347408385e-10,3.072003445366918e-10,-0.00232301774517002
discovery,p17_s20_cross,17,20,cross,point,14,11,1e-08,leader_group_replaced,0,1,16,5,9.014864894588137e-06,-9.39162499381807e-06,3.100079584425566e-10,3.103078842767821e-10,-0.0003026550555009785
discovery,p17_s20_cross,17,20,cross,point,14,11,1e-08,leader_group_replaced,2,3,5,7,6.974866540956914e-06,-7.064506877545174e-05,3.096830863406691e-10,3.0711858407529477e-10,-0.002300253792461222
discovery,p17_s20_cross,17,20,cross,point,14,11,1e-08,leader_group_replaced,6,7,7,15,8.568938461896158e-05,-2.3517097541420062e-06,1.165479236405061e-10,1.885519597864314e-11,-0.0012472475792910003
discovery,p17_s20_cross,17,20,cross,point,15,13,1e-08,leader_group_replaced,0,1,8,14,3.415850801422038e-06,-3.8015291311116473e-06,3.1011590448593917e-10,3.103948946847338e-10,-0.00012247395805181773
discovery,p17_s20_cross,17,20,cross,point,15,13,1e-08,leader_group_replaced,1,2,14,5,9.03977069088846e-07,-1.9967641687893e-05,3.103948946847338e-10,3.0974153677670353e-10,-0.0006446549563769976
discovery,p17_s20_cross,17,20,cross,point,15,13,1e-08,leader_group_replaced,2,3,5,9,2.8674872115663774e-07,-9.11816712130531e-06,3.0974153677670353e-10,3.0714077889118894e-10,-0.0002968725661966108
discovery,p17_s20_cross,17,20,cross,point,15,13,1e-08,leader_group_replaced,5,6,9,0,3.0346077494233792e-05,-6.967905303877087e-05,2.482742250376222e-10,1.1657365969905568e-10,-0.005977255343844653
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,1,2,15,5|12,2.3539362112301454e-08,-1.53881175951609e-06,3.104172662304539e-10,3.0982261013593996e-10,-4.966751002584705e-05
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,10,11,5|12,13,4.289273103363911e-11,-1.9168558407223202e-10,8.51715500935592e-15,9.746814231564278e-16,-0.003020892330810576
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,11,12,13,2,9.085648899898047e-13,-1.4545747384353547e-09,9.746814231564278e-16,9.74681314070078e-16,-0.3689948887582931
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,12,13,2,14,1.1732559368482498e-12,-1.4924184110753913e-10,9.74681314070078e-16,9.746813007381916e-16,-0.06241931005810713
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,14,15,14,13,1.0072359613033655e-12,-1.0232376751462269e-09,9.74681302930828e-16,9.746813180208313e-16,-0.2288121536157432
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,15,16,13,5,9.869050021649173e-13,-5.749437315127892e-10,9.746813180208313e-16,9.746813072112943e-16,-0.30461076014238536
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,16,17,5,9,2.9987262673003556e-12,-3.578368851231417e-10,9.746813072112943e-16,9.746813044677513e-16,-0.129983449897061
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,17,18,9,7,9.759137942211282e-13,-1.0071386641330449e-09,9.746813044677513e-16,9.746812989660223e-16,-1.3950905731829837
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,18,19,7,14,1.2026490914252008e-13,-2.31662251881648e-09,9.746812989660223e-16,9.746813156663175e-16,-1.301513641734195
discovery,p17_s20_diag,17,20,diag,profile,-1,0,1e-08,leader_group_replaced,19,20,14,1,6.607492331056619e-13,-1.1498969415546512e-09,9.746813156663175e-16,9.74681306182867e-16,-0.3842002101889397
