example,phase,name,p,test_a,truth,step,raw_argmax,correct_score,best_wrong_score,margin,rms,tolerance,normalized_margin
1,confirmation,p17_s111_cross,17,13,9,36,9,0.06901553637058157,0.0690147009266963,8.354438852664625e-07,0.0004154369666164557,4.154369666164557e-12,0.0020110003499947808
1,confirmation,p17_s111_cross,17,13,9,37,9,0.06901553867229374,0.06901469871349054,8.399588031920979e-07,0.0004154379536650579,4.154379536650579e-12,0.0020218634233628665
1,confirmation,p17_s111_cross,17,13,9,38,9,0.06901552357720542,0.06901470202872412,8.215484813001162e-07,0.0004154369697038945,4.154369697038945e-12,0.0019775526522968823
1,confirmation,p17_s111_cross,17,13,9,39,9,0.06901551064004915,0.06901470005924205,8.105808071007248e-07,0.00041543438768393173,4.154343876839318e-12,0.0019511644464960034
1,confirmation,p17_s111_cross,17,13,9,40,9,0.06901553956876767,0.06901469809395029,8.414748173812825e-07,0.0004154378119083556,4.154378119083556e-12,0.00202551330971989
1,confirmation,p17_s111_cross,17,13,9,41,9,0.06901552177024878,0.06901469882614968,8.229440991019965e-07,0.00041543626070449525,4.154362607044952e-12,0.0019809154302189488
1,confirmation,p17_s111_cross,17,13,9,42,9,0.06901553545276126,0.06901469825786084,8.371949004187806e-07,0.00041543697958948037,4.154369795894804e-12,0.002015215162709073
1,confirmation,p17_s111_cross,17,13,9,43,9,0.06901553678236184,0.06901469736304229,8.394193195537802e-07,0.00041543774413377413,4.154377441337741e-12,0.0020205658523012797
1,confirmation,p17_s111_cross,17,13,9,44,9,0.06901551956121178,0.06901470650889834,8.130523134475265e-07,0.0004154365097006145,4.154365097006145e-12,0.0019571036595542723
1,confirmation,p17_s111_cross,17,13,9,45,9,0.06901553988557363,0.06901469976411247,8.401214611625241e-07,0.00041543788606669224,4.154378860666922e-12,0.0020222552861431983
1,confirmation,p17_s111_cross,17,13,9,46,9,0.06901552080474108,0.06901469723057797,8.235741631029692e-07,0.0004154357594153912,4.154357594153912e-12,0.001982434454515706
1,confirmation,p17_s111_cross,17,13,9,47,9,0.06901553371707597,0.06901470141402438,8.323030515899887e-07,0.00041543762859651555,4.154376285965156e-12,0.0020034368441823173
1,confirmation,p17_s111_cross,17,13,9,48,9,0.06901551970315971,0.06901469801606183,8.216870978766666e-07,0.0004154358907979,4.154358907979e-12,0.0019778914534767495
1,confirmation,p17_s111_cross,17,13,9,49,9,0.06901553499702015,0.06901469747470508,8.375223150697275e-07,0.0004154369490011536,4.154369490011536e-12,0.0020160034322498402
1,confirmation,p17_s111_cross,17,13,9,50,9,0.06901551445775148,0.06901470091284999,8.135449014873286e-07,0.0004154351143586086,4.154351143586086e-12,0.0019582959489193945
1,confirmation,p17_s111_cross,17,13,9,51,9,0.06901553707888305,0.06901469924524462,8.37833638439589e-07,0.0004154372430278176,4.154372430278176e-12,0.00201675139266098
1,confirmation,p17_s111_cross,17,13,9,52,9,0.06901553473096537,0.06901469818886456,8.365421008127427e-07,0.0004154369387980299,4.154369387980299e-12,0.0020136440039084692
1,confirmation,p17_s111_cross,17,13,9,53,9,0.06901553525111968,0.0690146974531768,8.377979428819682e-07,0.0004154376309658909,4.154376309658909e-12,0.0020166635866233186
1,confirmation,p17_s111_cross,17,13,9,54,9,0.06901553771414498,0.06901469631968467,8.413944603130608e-07,0.0004154375455318999,4.154375455318999e-12,0.0020253211809149138
1,confirmation,p17_s111_cross,17,13,9,55,9,0.0690155297983884,0.06901469406474305,8.357336453573838e-07,0.00041543679772836046,4.154367977283604e-12,0.0020116986504980735
1,confirmation,p17_s111_cross,17,13,9,56,9,0.06901553830565055,0.06901469860634923,8.396993013137788e-07,0.00041543755508669796,4.1543755508669796e-12,0.002021240716041046
1,confirmation,p17_s111_cross,17,13,9,57,9,0.06901553208807988,0.06901470171200269,8.303760771904978e-07,0.0004154373276934525,4.154373276934525e-12,0.001998799871453113
1,confirmation,p17_s111_cross,17,13,9,58,9,0.06901552158728642,0.06901469934048926,8.222467971635838e-07,0.00041543692891074594,4.15436928910746e-12,0.001979233765566947
1,confirmation,p17_s111_cross,17,13,9,59,9,0.06901552337299378,0.06901470026445974,8.231085340398847e-07,0.00041543673806532813,4.154367380653282e-12,0.0019813089662533635
2,boundary,p17_s107_eps03,17,4,8,0,11,-0.06551249738314682,0.06687709539813258,-0.1323895927812794,0.031082736258455826,3.1082736258455827e-10,-4.259264425128074
2,boundary,p17_s107_eps03,17,4,8,1,9,-0.06530831340634001,0.06721908396373555,-0.13252739737007557,0.031096660455600545,3.1096660455600547e-10,-4.261788739639637
2,boundary,p17_s107_eps03,17,4,8,2,11,-0.0640512172009619,0.06783749905427473,-0.13188871625523663,0.03090956229798922,3.0909562297989223e-10,-4.266922804785769
2,boundary,p17_s107_eps03,17,4,8,3,4,-0.05998852332115523,0.0693562011835773,-0.12934472450473253,0.030139523284045382,3.013952328404538e-10,-4.291531862854721
2,boundary,p17_s107_eps03,17,4,8,4,15,-0.04627870377464265,0.07185881783058269,-0.11813752160522534,0.027190356947598693,2.719035694759869e-10,-4.344831582494492
2,boundary,p17_s107_eps03,17,4,8,5,13,-0.003531837119322449,0.07525439645266646,-0.07878623357198891,0.01755165153781703,1.755165153781703e-10,-4.48882165887552
2,boundary,p17_s107_eps03,17,4,8,6,3,0.06240277711544837,0.07720202372068169,-0.014799246605233317,0.007016563761014073,7.016563761014073e-11,-2.1091872188865346
2,boundary,p17_s107_eps03,17,4,8,7,8,0.07631377491881242,0.0761480508112245,0.00016572410758791678,0.007227227425767378,7.227227425767379e-11,0.022930523397818824
2,boundary,p17_s107_eps03,17,4,8,8,15,0.07495346486171658,0.07714660802022266,-0.002193143158506078,0.007058819919945642,7.058819919945642e-11,-0.31069543965968843
2,boundary,p17_s107_eps03,17,4,8,9,15,0.07398352404585298,0.07756763823876565,-0.0035841141929126713,0.007027508766173937,7.027508766173937e-11,-0.5100120557891541
2,boundary,p17_s107_eps03,17,4,8,10,15,0.07362282954707146,0.0777377764605967,-0.004114946913525236,0.007032723114000996,7.032723114000996e-11,-0.5851143073346727
2,boundary,p17_s107_eps03,17,4,8,11,15,0.073499463364108,0.0778052942282031,-0.0043058308640951115,0.007039651563646766,7.039651563646766e-11,-0.6116539753658706
2,boundary,p17_s107_eps03,17,4,8,12,15,0.0734572965936539,0.07783178507647123,-0.0043744884828173375,0.007043653794348579,7.043653794348579e-11,-0.6210538749543845
2,boundary,p17_s107_eps03,17,4,8,13,15,0.0734426048299572,0.07784210244574248,-0.004399497615785286,0.00704555357341401,7.045553573414011e-11,-0.6244360460740142
2,boundary,p17_s107_eps03,17,4,8,14,15,0.07343736967201424,0.07784610234634635,-0.0044087326743321165,0.007046381299088407,7.046381299088407e-11,-0.6256733048071748
2,boundary,p17_s107_eps03,17,4,8,15,15,0.07343546538345906,0.07784764912920739,-0.004412183745748324,0.0070467256222283324,7.046725622228333e-11,-0.6261324737592228
2,boundary,p17_s107_eps03,17,4,8,16,15,0.07343476107303101,0.0778482439409336,-0.004413482867902593,0.007046865313734544,7.046865313734544e-11,-0.6263044164191116
2,boundary,p17_s107_eps03,17,4,8,17,15,0.0734345017362254,0.0778484807925673,-0.004413979056341902,0.0070469219037136354,7.046921903713635e-11,-0.6263697989920667
2,boundary,p17_s107_eps03,17,4,8,18,15,0.07343440386168602,0.07784856480288002,-0.004414160941193998,0.007046944746765603,7.046944746765603e-11,-0.6263935790357947
2,boundary,p17_s107_eps03,17,4,8,19,15,0.07343435717779428,0.07784860142732833,-0.004414244249534044,0.007046951417945463,7.046951417945463e-11,-0.6264048079419023
2,boundary,p17_s107_eps03,17,4,8,20,15,0.0734343461416819,0.07784861532794225,-0.004414269186260353,0.007046956259705498,7.046956259705498e-11,-0.6264079162093212
2,boundary,p17_s107_eps03,17,4,8,21,15,0.07343434336869134,0.07784861943173506,-0.004414276063043718,0.007046957137728704,7.046957137728704e-11,-0.6264088140128063
2,boundary,p17_s107_eps03,17,4,8,22,15,0.07343434029221928,0.07784861872676556,-0.0044142784345462815,0.007046957405944904,7.046957405944905e-11,-0.626409126699466
2,boundary,p17_s107_eps03,17,4,8,23,15,0.07343434338141265,0.07784862073634051,-0.004414277354927859,0.007046957833891774,7.046957833891774e-11,-0.6264089354554883
2,boundary,p17_s107_eps03,17,4,8,24,15,0.07343434000165794,0.07784862383959171,-0.004414283837933769,0.007046957899173857,7.046957899173857e-11,-0.6264098496247966
2,boundary,p17_s107_eps03,17,4,8,25,15,0.0734343426747425,0.07784862027925613,-0.004414277604513628,0.007046957107561964,7.046957107561964e-11,-0.6264090354369753
2,boundary,p17_s107_eps03,17,4,8,26,15,0.07343433773702876,0.0778486208412353,-0.004414283104206537,0.007046956955426471,7.04695695542647e-11,-0.6264098293955581
2,boundary,p17_s107_eps03,17,4,8,27,15,0.07343433597413535,0.07784861998800997,-0.004414284013874628,0.007046956629995577,7.046956629995577e-11,-0.6264099874100402
2,boundary,p17_s107_eps03,17,4,8,28,15,0.07343433700129043,0.07784862168435637,-0.004414284683065942,0.007046956899561222,7.046956899561221e-11,-0.6264100584098644
2,boundary,p17_s107_eps03,17,4,8,29,15,0.07343433895998325,0.07784862366175307,-0.004414284701769827,0.007046957949843372,7.046957949843372e-11,-0.6264099677035735
2,boundary,p17_s107_eps03,17,4,8,30,15,0.07343434052587544,0.07784862113059916,-0.004414280604723722,0.007046956908983605,7.046956908983605e-11,-0.6264094788342337
2,boundary,p17_s107_eps03,17,4,8,31,15,0.07343433892872733,0.07784862258868298,-0.004414283659955651,0.007046957441303457,7.046957441303457e-11,-0.6264098650692507
2,boundary,p17_s107_eps03,17,4,8,32,15,0.07343434153174559,0.0778486197655916,-0.004414278233846006,0.007046957288619876,7.046957288619876e-11,-0.6264091086481565
2,boundary,p17_s107_eps03,17,4,8,33,15,0.07343434222091978,0.07784861862233193,-0.004414276401412148,0.007046957183913306,7.046957183913306e-11,-0.6264088579236717
2,boundary,p17_s107_eps03,17,4,8,34,15,0.073434337022835,0.07784862289202338,-0.004414285869188378,0.007046957335382167,7.046957335382167e-11,-0.6264101879863282
2,boundary,p17_s107_eps03,17,4,8,35,15,0.0734343421534706,0.07784862006177254,-0.004414277908301942,0.007046957510085515,7.046957510085516e-11,-0.6264090427655175
2,boundary,p17_s107_eps03,17,4,8,36,15,0.07343434158630525,0.07784862216913863,-0.0044142805828333714,0.007046957075798302,7.046957075798303e-11,-0.6264094608995908
2,boundary,p17_s107_eps03,17,4,8,37,15,0.07343433985466462,0.07784861979056602,-0.004414279935901405,0.007046956492024252,7.046956492024253e-11,-0.6264094209886905
2,boundary,p17_s107_eps03,17,4,8,38,15,0.07343433783255844,0.07784862138298781,-0.004414283550429374,0.007046956665656022,7.046956665656022e-11,-0.6264099184748478
2,boundary,p17_s107_eps03,17,4,8,39,15,0.07343433809691664,0.07784862274113953,-0.004414284644222888,0.007046956524800337,7.046956524800337e-11,-0.6264100862106509
2,boundary,p17_s107_eps03,17,4,8,40,15,0.073434337089842,0.07784862323310339,-0.004414286143261392,0.007046957217243181,7.046957217243181e-11,-0.6264102373801967
2,boundary,p17_s107_eps03,17,4,8,41,15,0.07343433904005649,0.077848621097158,-0.0044142820571015096,0.007046957216602816,7.046957216602817e-11,-0.6264096575897106
2,boundary,p17_s107_eps03,17,4,8,42,15,0.0734343421242463,0.07784862000932091,-0.004414277885074619,0.007046957589368272,7.046957589368271e-11,-0.626409032421939
2,boundary,p17_s107_eps03,17,4,8,43,15,0.07343433791120266,0.07784862322306542,-0.004414285311862762,0.007046957712533523,7.046957712533523e-11,-0.6264100753736094
2,boundary,p17_s107_eps03,17,4,8,44,15,0.0734343371211519,0.07784862493558137,-0.004414287814429471,0.007046957173587446,7.046957173587446e-11,-0.6264104784082656
2,boundary,p17_s107_eps03,17,4,8,45,15,0.07343433635104066,0.07784862362079871,-0.004414287269758052,0.0070469568971977675,7.046956897197767e-11,-0.6264104256850783
2,boundary,p17_s107_eps03,17,4,8,46,15,0.0734343371511571,0.0778486227541653,-0.004414285603008203,0.0070469572079971295,7.046957207997129e-11,-0.6264101615373397
2,boundary,p17_s107_eps03,17,4,8,47,15,0.07343434409845082,0.07784862124573656,-0.004414277147285747,0.007046957832500831,7.046957832500832e-11,-0.6264089061136335
2,boundary,p17_s107_eps03,17,4,8,48,15,0.07343434124567141,0.07784862147129583,-0.004414280225624415,0.007046957657144346,7.046957657144346e-11,-0.6264093585334842
2,boundary,p17_s107_eps03,17,4,8,49,15,0.07343434065035802,0.07784861920034467,-0.004414278549986647,0.007046956872624108,7.046956872624108e-11,-0.6264091904883309
2,boundary,p17_s107_eps03,17,4,8,50,15,0.07343433703012922,0.07784862119024319,-0.004414284160113968,0.007046957111707801,7.046957111707801e-11,-0.6264099653423582
2,boundary,p17_s107_eps03,17,4,8,51,15,0.0734343410703253,0.07784861777393509,-0.00441427670360979,0.007046956999020298,7.046956999020298e-11,-0.6264089172423621
2,boundary,p17_s107_eps03,17,4,8,52,15,0.07343434101819242,0.07784861982371376,-0.004414278805521338,0.0070469575539242645,7.046957553924264e-11,-0.6264091661887679
2,boundary,p17_s107_eps03,17,4,8,53,15,0.07343433793260137,0.07784862373903575,-0.0044142858064343815,0.007046956510123182,7.046956510123182e-11,-0.6264102524392079
2,boundary,p17_s107_eps03,17,4,8,54,15,0.07343434527104309,0.07784862174705155,-0.0044142764760084635,0.007046957449795052,7.046957449795053e-11,-0.6264088448748679
2,boundary,p17_s107_eps03,17,4,8,55,15,0.07343433876324566,0.07784862414877566,-0.004414285385530001,0.007046957237722914,7.046957237722914e-11,-0.6264101280336973
2,boundary,p17_s107_eps03,17,4,8,56,15,0.07343434423340686,0.07784862190602183,-0.004414277672614972,0.007046958516579943,7.046958516579943e-11,-0.6264089198523232
2,boundary,p17_s107_eps03,17,4,8,57,15,0.0734343405474979,0.07784861832925494,-0.004414277781757042,0.007046956797574427,7.046956797574427e-11,-0.6264090881437564
2,boundary,p17_s107_eps03,17,4,8,58,15,0.0734343403908005,0.0778486209387819,-0.004414280547981403,0.007046957570539682,7.046957570539682e-11,-0.6264094119759743
2,boundary,p17_s107_eps03,17,4,8,59,15,0.07343434027850262,0.07784861643507726,-0.004414276156574637,0.007046956910263537,7.046956910263537e-11,-0.6264088475048665
3,boundary,p17_s100_uncentered,17,9,1,0,2,-0.06529211570976808,0.06659693405986691,-0.131889049769635,0.03102731728818033,3.102731728818033e-10,-4.250739712513829
3,boundary,p17_s100_uncentered,17,9,1,1,2,-0.0651709643563673,0.06685920945205368,-0.13203017380842097,0.031056867598619912,3.1056867598619914e-10,-4.251239227174605
3,boundary,p17_s100_uncentered,17,9,1,2,3,-0.06446978594984787,0.06733092991716728,-0.13180071586701514,0.030997817742699333,3.0997817742699335e-10,-4.2519353123836305
3,boundary,p17_s100_uncentered,17,9,1,3,13,-0.0626377804594617,0.06830519678469227,-0.13094297724415396,0.030760562524170403,3.07605625241704e-10,-4.256845990422454
3,boundary,p17_s100_uncentered,17,9,1,4,13,-0.057005929274295715,0.07010284803161866,-0.12710877730591438,0.029755829227581805,2.975582922758181e-10,-4.271726939072915
3,boundary,p17_s100_uncentered,17,9,1,5,13,-0.03825783639583199,0.07212263716159376,-0.11038047355742575,0.025688791407196356,2.568879140719636e-10,-4.296834047494512
3,boundary,p17_s100_uncentered,17,9,1,6,13,0.006720390896241819,0.07175135390154784,-0.06503096300530602,0.015028820897687905,1.5028820897687906e-10,-4.327083504954846
3,boundary,p17_s100_uncentered,17,9,1,7,13,0.04249801203017565,0.07031686973884972,-0.027818857708674073,0.006348755492025644,6.348755492025645e-11,-4.381781239428098
3,boundary,p17_s100_uncentered,17,9,1,8,3,0.057593402766600195,0.06955267789070974,-0.01195927512410954,0.0027182712535563603,2.7182712535563605e-11,-4.399588565145225
3,boundary,p17_s100_uncentered,17,9,1,9,3,0.064002796516515,0.06928974025939963,-0.005286943742884631,0.0013425185161599128,1.3425185161599127e-11,-3.938078826657227
3,boundary,p17_s100_uncentered,17,9,1,10,3,0.06681970200655632,0.0691720706640222,-0.002352368657465881,0.0009782658826457172,9.782658826457172e-12,-2.4046311940307135
3,boundary,p17_s100_uncentered,17,9,1,11,3,0.06808102452476474,0.06911897381287423,-0.001037949288109491,0.0009506593543976861,9.506593543976861e-12,-1.0918204121255501
3,boundary,p17_s100_uncentered,17,9,1,12,15,0.0686513459054468,0.06911152554158154,-0.00046017963613473323,0.0009738706755558611,9.738706755558612e-12,-0.47252643260058547
3,boundary,p17_s100_uncentered,17,9,1,13,15,0.06891063541925438,0.06911380710713788,-0.00020317168788350215,0.0009920150092266166,9.920150092266166e-12,-0.2048070704513801
3,boundary,p17_s100_uncentered,17,9,1,14,15,0.06902892383675362,0.06911638197060414,-8.745813385052648e-05,0.001002051658212666,1.002051658212666e-11,-0.08727906703584856
3,boundary,p17_s100_uncentered,17,9,1,15,15,0.06908302093718881,0.06911825879438897,-3.523785720016548e-05,0.0010071235982749998,1.0071235982749998e-11,-0.03498861238136098
3,boundary,p17_s100_uncentered,17,9,1,16,15,0.06910781099677883,0.0691194369244316,-1.1625927652761381e-05,0.0010096065108398781,1.0096065108398781e-11,-0.011515305743313727
3,boundary,p17_s100_uncentered,17,9,1,17,15,0.06911919117997047,0.06912012244521948,-9.312652490128803e-07,0.0010108073500148566,1.0108073500148567e-11,-0.0009213083472327272
3,boundary,p17_s100_uncentered,17,9,1,18,1,0.06912442405247857,0.06912050353235685,3.920520121714066e-06,0.0010113854984900804,1.0113854984900805e-11,0.0038763855400014103
3,boundary,p17_s100_uncentered,17,9,1,19,1,0.06912683430665406,0.06912070878536833,6.125521285732516e-06,0.0010116634462909735,1.0116634462909736e-11,0.006054900281502017
3,boundary,p17_s100_uncentered,17,9,1,20,1,0.0691279461580914,0.06912081710622855,7.129051862841962e-06,0.0010117970206644136,1.0117970206644135e-11,0.007045930870759581
3,boundary,p17_s100_uncentered,17,9,1,21,1,0.06912845944928649,0.06912087283080098,7.586618485502794e-06,0.00101186118956868,1.0118611895686799e-11,0.007497686998684767
3,boundary,p17_s100_uncentered,17,9,1,22,1,0.06912869694069786,0.06912090481288773,7.792127810130056e-06,0.001011892721533152,1.0118927215331519e-11,0.007700547344904257
3,boundary,p17_s100_uncentered,17,9,1,23,1,0.06912881237831743,0.06912092428740493,7.888090912497314e-06,0.0010119068176571268,1.0119068176571269e-11,0.00779527400631676
3,boundary,p17_s100_uncentered,17,9,1,24,1,0.06912885596511284,0.06912092994314886,7.926021963977625e-06,0.0010119144959363838,1.0119144959363838e-11,0.007832699299996896
3,boundary,p17_s100_uncentered,17,9,1,25,1,0.0691288821408371,0.06912093168863101,7.950452206084702e-06,0.0010119183738254143,1.0119183738254144e-11,0.007856811786141546
3,boundary,p17_s100_uncentered,17,9,1,26,1,0.0691288998134958,0.06912093041451729,7.969398978513453e-06,0.0010119203123736458,1.0119203123736458e-11,0.007875520316238893
3,boundary,p17_s100_uncentered,17,9,1,27,1,0.06912889558399501,0.06912093467427863,7.960909716386855e-06,0.0010119202666335236,1.0119202666335235e-11,0.007867131412311138
3,boundary,p17_s100_uncentered,17,9,1,28,1,0.0691288991719677,0.06912093337939323,7.96579257446306e-06,0.0010119208258950912,1.0119208258950912e-11,0.007871952400442934
3,boundary,p17_s100_uncentered,17,9,1,29,1,0.06912889712788023,0.06912093150168892,7.965626191305808e-06,0.001011919696594096,1.0119196965940961e-11,0.007871796762249408
3,boundary,p17_s100_uncentered,17,9,1,30,1,0.0691288917101722,0.06912093099189574,7.960718276453504e-06,0.0010119200237272378,1.0119200237272377e-11,0.007866944115930757
3,boundary,p17_s100_uncentered,17,9,1,31,1,0.06912889890931577,0.06912093412589836,7.964783417413468e-06,0.00101192072242613,1.0119207224261299e-11,0.00787095593646655
3,boundary,p17_s100_uncentered,17,9,1,32,1,0.06912888113043435,0.06912093300265322,7.948127781126635e-06,0.0010119192881278473,1.0119192881278474e-11,0.007854507641445864
3,boundary,p17_s100_uncentered,17,9,1,33,1,0.06912890054482633,0.06912093207219344,7.968472632888246e-06,0.0010119207074188224,1.0119207074188224e-11,0.007874601808687156
3,boundary,p17_s100_uncentered,17,9,1,34,1,0.06912889098836093,0.06912093260252891,7.958385832021464e-06,0.0010119206506361464,1.0119206506361465e-11,0.007864634274454628
3,boundary,p17_s100_uncentered,17,9,1,35,1,0.06912890095472769,0.06912092935976276,7.971594964933937e-06,0.001011920351850494,1.011920351850494e-11,0.00787769012685269
3,boundary,p17_s100_uncentered,17,9,1,36,1,0.0691288764156979,0.06912093290631656,7.943509381339031e-06,0.0010119177427755706,1.0119177427755706e-11,0.00784995562934881
3,boundary,p17_s100_uncentered,17,9,1,37,1,0.0691288893813387,0.06912093513641114,7.954244927554921e-06,0.001011919806618258,1.011919806618258e-11,0.007860548707053445
3,boundary,p17_s100_uncentered,17,9,1,38,1,0.06912889995355831,0.0691209331352217,7.966818336604953e-06,0.0010119205521919973,1.0119205521919974e-11,0.007872968208173485
3,boundary,p17_s100_uncentered,17,9,1,39,1,0.06912890068703982,0.06912093241252845,7.968274511369056e-06,0.001011920539973751,1.011920539973751e-11,0.007874407324092612
3,boundary,p17_s100_uncentered,17,9,1,40,1,0.06912888702282592,0.06912093145476322,7.955568062698037e-06,0.0010119196829389359,1.0119196829389359e-11,0.00786185721735597
3,boundary,p17_s100_uncentered,17,9,1,41,1,0.06912889251676903,0.06912093176153666,7.960755232364058e-06,0.0010119200650993158,1.0119200650993158e-11,0.007866980314875704
