p,seed,method,chosen_code,test_acc,test_correct,test_n,test_normalized_margin,test_mean_margin,test_mse,validation_acc,validation_normalized_margin,validation_test_gap,online_fits,charged_fits,online_updates,unique_candidates,online_seconds,charged_seconds,peak_cuda_allocated_bytes,final_kernel_condition,relative_solve_residual,near_top_ties_relative_1e8,source
17,2002,random_probe,10,1.0,11,11,2.5556450888158135,0.0034434095535290617,0.05491117017336125,1.0,2.5708826301186893,0.0,170,170,159,11,1.5899509109999883,1.5899509109999883,21959168,35612.5104767195,3.449009356339295e-14,0,runs/p17-s2002-random_probe/selected.npz
17,2002,greedy_probe,112,1.0,11,11,2.6476333311933673,0.003623878505603391,0.05490450440505969,1.0,2.6215783500907164,0.0,170,170,159,11,1.5303905030000067,1.5303905030000067,21959168,35633.608920755505,3.363986395877268e-14,0,runs/p17-s2002-greedy_probe/selected.npz
17,2002,random_full,10,1.0,11,11,2.5556450888158135,0.0034434095535290617,0.05491117017336125,1.0,2.5708826301186893,0.0,120,120,118,2,1.1107644540000052,1.1107644540000052,16208384,35612.5104767195,3.449009356339295e-14,0,runs/p17-s2002-random_full/selected.npz
17,2002,unmodified,0,1.0,11,11,0.8056685093069622,0.0010518524772875626,0.05516289763507912,1.0,0.8878098887622361,0.0,60,60,59,1,,,,35614.30262695245,3.349400638407669e-14,0,runs/p17-s2002-random_full/unmodified.npz
17,2002,bank,74,1.0,11,11,2.674980131859674,0.003674105123912602,0.05489760785063533,1.0,2.6503381335739467,0.0,60,171.0,59,1,0.5670095720000035,1.5984208930500035,15569408,35615.604158728966,3.880102076449259e-14,0,runs/p17-s2002-bank/selected.npz
17,2003,random_probe,74,1.0,11,11,1.9694838108135648,0.001010877998651063,0.05526721199219259,1.0,1.870566054735234,0.0,170,170,159,11,1.5415681449999994,1.5415681449999994,21959168,35462.63038165641,3.392083295774398e-14,0,runs/p17-s2003-random_probe/selected.npz
17,2003,greedy_probe,74,1.0,11,11,1.9694838108135648,0.001010877998651063,0.05526721199219259,1.0,1.870566054735234,0.0,170,170,159,11,1.5418917700000065,1.5418917700000065,21959168,35462.63038165641,3.392083295774398e-14,0,runs/p17-s2003-greedy_probe/selected.npz
17,2003,bank,98,1.0,11,11,2.368153169076127,0.0011147931747662093,0.05527540276967095,1.0,2.2297692936901234,0.0,60,171.0,59,1,0.5718951140000001,1.6033064350500001,15569408,35429.541799928134,3.7309960252958165e-14,0,runs/p17-s2003-bank/selected.npz
17,2003,random_full,76,1.0,11,11,1.317652968618953,0.0011028256479477464,0.0552269055866347,1.0,1.4148967884996615,0.0,120,120,118,2,1.120618449999995,1.120618449999995,16208384,35455.90479859852,3.3401404717155287e-14,0,runs/p17-s2003-random_full/selected.npz
17,2003,unmodified,0,1.0,11,11,0.3257357781268669,0.0002499763376084036,0.055303747240611566,1.0,0.2596990644752995,0.0,60,60,59,1,,,,35467.41844935609,3.92068171776259e-14,0,runs/p17-s2003-random_full/unmodified.npz
17,2004,random_probe,0,1.0,11,11,1.1458317561373716,0.0010767577648266365,0.055178114977911946,1.0,0.8732747646045339,0.0,170,170,159,11,1.5188220980000011,1.5188220980000011,21959168,35504.977516968866,3.666921677216091e-14,0,runs/p17-s2004-random_probe/selected.npz
17,2004,greedy_probe,34,1.0,11,11,1.3049302857771166,0.001161614796066237,0.055161121232428424,1.0,1.1851760283252133,0.0,170,170,159,11,1.5352592949999888,1.5352592949999888,21959168,35515.28669729231,3.5347249781259844e-14,0,runs/p17-s2004-greedy_probe/selected.npz
17,2004,random_full,0,1.0,11,11,1.1458317561373716,0.0010767577648266365,0.055178114977911946,1.0,0.8732747646045339,0.0,120,120,118,2,1.1055995809999928,1.1055995809999928,16208384,35504.977516968866,3.666921677216091e-14,0,runs/p17-s2004-random_full/selected.npz
17,2004,unmodified,0,1.0,11,11,1.1458317561373716,0.0010767577648266365,0.055178114977911946,1.0,0.8732747646045339,0.0,60,60,59,1,,,,35504.977516968866,3.666921677216091e-14,0,runs/p17-s2004-random_full/unmodified.npz
17,2004,bank,5,0.9090909090909091,10,11,0.5512045414502577,0.000234920958017203,0.05536108156299441,1.0,0.994293658690861,0.09090909090909094,60,171.0,59,1,0.5520922749999926,1.5835035960499926,15569408,35450.61500699517,3.457532679074256e-14,0,runs/p17-s2004-bank/selected.npz
17,2005,greedy_probe,121,1.0,11,11,1.4051493942993525,0.0009038767558651475,0.0552622509308676,1.0,1.5524470412680467,0.0,170,170,159,11,1.5295937550000076,1.5295937550000076,21959168,35470.57779068656,3.3519290625791946e-14,0,runs/p17-s2005-greedy_probe/selected.npz
17,2005,random_probe,125,1.0,11,11,0.974360523105031,0.000997667266505521,0.055199453444714455,1.0,1.0234474655897434,0.0,170,170,159,11,1.5421417850000125,1.5421417850000125,21959168,35491.408897284295,3.5964296580715357e-14,0,runs/p17-s2005-random_probe/selected.npz
