p,seed,signal,predicted_acc,constant_acc,circulant_fraction,frequency_concentration,spectral_fraction,effective_rank,centered_energy_fraction
17,100,0.49645176631737314,0.8869313875967076,0.7102941176470589,0.07881596029675399,0.4124653332294685,0.19184749648427202,8.11440834049492,0.9156193319594249
17,101,1.6158404297232558,1.0,0.7102941176470589,0.07579667834472077,0.5484758955194446,0.18014394320292018,8.445884707480543,0.8643925764382835
17,102,0.8885342531078508,0.9656862745098039,0.7102941176470589,0.05009155566423042,0.3322861216281573,0.17799681635739548,8.012590042294738,0.8608913518274495
17,103,-0.15818096848498614,0.17647058823529413,0.7102941176470589,0.02580295125140001,0.6494639985287918,0.17155522982632312,8.390221031473146,0.9136833146047048
17,104,1.013703497528994,0.9656862745098039,0.7102941176470589,0.05965116205273243,0.31638727322185556,0.1754935639351221,8.883556979909491,0.9257910431539064
17,105,-0.5714067722320115,0.005787331019337585,0.7102941176470589,0.0037689299158044313,0.8648334991807413,0.18039926327091957,8.581268688294495,0.9406006538943024
17,106,-0.2558068918053747,0.0392156862745098,0.7102941176470589,0.06198342458779351,0.39421112290064725,0.16649472099118545,9.188139675444132,0.8666124229161416
17,107,-0.7319366950604462,0.0,0.7102941176470589,0.09964707905793581,0.3261132617023044,0.15668712249670103,9.564613781046425,0.8525766541072731
17,108,1.5179284528567434,1.0,0.7102941176470589,0.10077226624653712,0.4681741852696977,0.19980066366004043,7.992384035442133,0.9433828251453248
17,109,1.9015592430089079,1.0,0.7102941176470589,0.09890941064555109,0.43477395157502896,0.204590183890446,7.471064707365586,0.9288651388220793
17,110,0.8764968107752744,0.9656862745098039,0.7102941176470589,0.07404905992388008,0.6389992632231828,0.16620094751807274,9.428858796411815,0.8738507896687433
17,111,0.15494923667130892,0.5427051542875836,0.7102941176470589,0.026355240425087155,0.4092262869573698,0.18729938703773252,8.504763342277162,0.9078574037867961
17,112,2.0484064467479395,1.0,0.7102941176470589,0.07649969101883274,0.4580870227481416,0.17406803755895706,8.399148708187052,0.856787557820877
17,113,1.4399067475332865,1.0,0.7102941176470589,0.06444306239977125,0.3689071995034191,0.1981131405666554,7.735668156745409,0.8513440949676785
17,114,-0.14111530744626852,0.17647058823529413,0.7102941176470589,0.053213177353253274,0.4305141138859776,0.17077245497993213,8.33398524811456,0.9257675279071185
17,115,0.16600352854814038,0.5848597636524044,0.7102941176470589,0.10092831207151835,0.366949326614848,0.1815396214167371,8.273006276272389,0.8672763855637422
17,116,2.1410991886401405,1.0,0.7102941176470589,0.03631400698467355,0.3492033237770332,0.1680247053025541,8.760127054360671,0.8943366622951103
17,117,0.6368500882255236,0.9176470588235294,0.7102941176470589,0.03706586268551675,0.2970175563223793,0.16366542324174863,9.328443380326709,0.8543993955905047
17,118,1.3462915566501763,0.9670045814422912,0.7102941176470589,0.05628529627469091,0.6553402185621275,0.20859255569372884,7.603118731284733,0.8245972429197538
17,119,1.8584603144300007,1.0,0.7102941176470589,0.025872557559006817,0.33652566859521665,0.17531301255094436,8.62421860533476,0.8242449707184449
17,120,0.6497323912266034,0.9176470588235294,0.7102941176470589,0.0722814771295465,0.576094065485179,0.18695717369615433,8.467393070744137,0.9259832444181307
17,121,0.8287567260337638,0.9656862745098039,0.7102941176470589,0.05931298950265928,0.5803495753839424,0.14689637388949225,9.575286800646301,0.8612532561099039
17,122,1.2360588799117893,0.9656862745098039,0.7102941176470589,0.11634351512078184,0.4381188881942948,0.17543164494319105,8.449991000814366,0.9456568122857125
17,123,0.6297665947798149,0.9176470588235294,0.7102941176470589,0.04580663729468012,0.3659074507970154,0.19983511469771742,8.201882637503608,0.8703483201089925
17,124,0.9975556319324954,0.9656862745098039,0.7102941176470589,0.04524311812426752,0.6770863568142753,0.14737340986412722,9.40443961441877,0.9451284306463871
17,125,1.9619729742064953,1.0,0.7102941176470589,0.028213885656575306,0.31130507817792596,0.19364167270277205,7.989391306549927,0.8773595843980784
17,126,0.4974338515648048,0.8877961367812449,0.7102941176470589,0.032101411407760995,0.5008694719095351,0.18747046494533642,8.095522314160709,0.8329857749966798
17,127,0.8304292839549677,0.9656862745098039,0.7102941176470589,0.0472041131817268,0.26498283867440386,0.17616043783524882,8.197828112780423,0.9179518283818912
17,128,-0.4982943943031219,0.024447545729229192,0.7102941176470589,0.06641516785182532,0.6269615947327334,0.16987714713085772,8.509405337156574,0.849640016893431
17,129,1.750554797995722,1.0,0.7102941176470589,0.05516395375113465,0.39486886181643,0.1863956253973872,8.574723721078604,0.9062403962761846
17,130,0.07595603125698847,0.3381789497335407,0.7102941176470589,0.04010591386798795,0.2839670754542602,0.16037743381245162,8.816142623696049,0.8635842239034475
17,131,2.878188210393259,1.0,0.7102941176470589,0.01944585949325402,0.4739998886138685,0.16340771023929382,8.242283680863979,0.9312569571381317
17,132,0.2909897335606058,0.8529411764705883,0.7102941176470589,0.04306097320584147,0.5246764330854264,0.19370631262664303,7.689446140552273,0.7413871497417441
17,133,1.5732822825348243,1.0,0.7102941176470589,0.08566830627347281,0.33514305075107664,0.19324863026728378,7.917009401112971,0.9296065331004236
17,134,1.2740424339992713,0.9656862745098039,0.7102941176470589,0.02843075957998417,0.32599300533389863,0.18084916880185722,8.584251924075081,0.9029447762501734
