p,seed,family,base_acc,control_acc,control_gain,intervention_acc,net_effect,matched_angle_degrees,base_predicted_acc,control_predicted_acc,predicted_control_gain,base_z,control_mean_z
17,100,phase_best,0.7058823529411764,0.7058823529411765,1.1102230246251565e-16,1.0,0.2941176470588235,63.75849502218425,0.886931387596707,0.7140522875816994,-0.17287910001500761,0.4964517663173723,0.820328797186952
17,100,phase_worst,0.7058823529411764,0.8627450980392156,0.1568627450980392,0.0,-0.8627450980392156,141.64314731208898,0.886931387596707,0.8668770989158262,-0.020054288680880772,0.4964517663173723,0.6468806663271576
17,101,phase_best,1.0,1.0,0.0,1.0,0.0,32.188716776407276,1.0,0.988562091503268,-0.011437908496731986,1.6158404297232558,1.3917053187860517
17,101,phase_worst,1.0,1.0,0.0,0.0,-1.0,60.747467668240766,1.0,0.988562091503268,-0.011437908496731986,1.6158404297232558,1.6393719604678665
17,102,phase_best,1.0,0.784313725490196,-0.21568627450980404,1.0,0.21568627450980404,141.46833897247427,0.9656862745098039,0.8333426308581412,-0.13234364365166273,0.8885342531078506,0.4484419633625387
17,102,phase_worst,1.0,0.6470588235294118,-0.3529411764705882,0.0,-0.6470588235294118,114.25495281511023,0.9656862745098039,0.6754681897775784,-0.29021808473222555,0.8885342531078506,0.5915457647636221
17,103,phase_best,0.11764705882352941,0.37254901960784315,0.2549019607843137,1.0,0.6274509803921569,44.77175405169003,0.17647058823529413,0.46122029148889804,0.28474970325360394,-0.15818096848498628,-0.08490127771342709
17,103,phase_worst,0.11764705882352941,0.43137254901960786,0.3137254901960784,0.0,-0.43137254901960786,40.37858686813659,0.17647058823529413,0.45098039215686275,0.27450980392156865,-0.15818096848498628,0.5489723111599655
17,104,phase_best,1.0,0.6862745098039215,-0.31372549019607854,1.0,0.31372549019607854,40.233816725521336,0.9656862745098039,0.7140522875816994,-0.25163398692810457,1.0137034975289938,1.0644998846010365
17,104,phase_worst,1.0,0.7647058823529411,-0.23529411764705888,0.0,-0.7647058823529411,83.79884523078388,0.9656862745098039,0.8767847050085719,-0.08890156950123207,1.0137034975289938,0.6961288091889574
17,105,phase_best,0.058823529411764705,0.2156862745098039,0.1568627450980392,0.29411764705882354,0.07843137254901963,35.11188602192423,0.005787331019337585,0.43046456149694756,0.42467723047760997,-0.5714067722320115,0.05092899206591028
17,105,phase_worst,0.058823529411764705,0.11764705882352942,0.05882352941176472,0.0,-0.11764705882352942,29.753149413587018,0.005787331019337585,0.2973693384877585,0.2915820074684209,-0.5714067722320115,-0.21584623115549192
17,106,phase_best,0.058823529411764705,0.9411764705882352,0.8823529411764705,1.0,0.05882352941176483,100.095668051995,0.0392156862745098,0.9473554606122518,0.9081397743377421,-0.255806891805374,0.9362474079342222
17,106,phase_worst,0.058823529411764705,0.7450980392156863,0.6862745098039216,0.0,-0.7450980392156863,100.73712121852999,0.0392156862745098,0.6917006061915849,0.6524849199170751,-0.255806891805374,0.5922574102293597
17,107,phase_best,0.058823529411764705,0.7058823529411765,0.6470588235294118,1.0,0.2941176470588235,58.94706257576266,0.0,0.6797385620915032,0.6797385620915032,-0.7319366950604461,0.988313555612183
17,107,phase_worst,0.058823529411764705,0.0588235294117647,-6.938893903907228e-18,0.058823529411764705,6.938893903907228e-18,8.537736462515939e-07,0.0,0.0,0.0,-0.7319366950604461,-0.7319366950604467
17,108,phase_best,1.0,1.0,0.0,1.0,0.0,41.166335309148145,1.0,0.977124183006536,-0.02287581699346397,1.5179284528567432,1.510792864921721
17,108,phase_worst,1.0,0.8823529411764706,-0.11764705882352944,0.0,-0.8823529411764706,44.417728966253776,1.0,0.7802935787637013,-0.2197064212362987,1.5179284528567432,0.754257592758038
17,109,phase_best,1.0,1.0,0.0,1.0,0.0,11.813700739172212,1.0,1.0,0.0,1.9015592430089079,1.6928451460338838
17,109,phase_worst,1.0,1.0,0.0,0.0,-1.0,129.4769314387776,1.0,0.9556280008027634,-0.044371999197236556,1.9015592430089079,1.1242450957192145
