p,seed,worst_acc,uniform_chance,base_margin,best_margin,worst_margin,best_z,worst_z,worst_rms,best_rms,worst_to_best_rms,worst_vs_negative_best_cosine,worst_correct_centered_score,worst_top_offset
17,100,0.0,0.058823529411764705,0.00041312289491148013,0.003589851149673612,-0.0006001618651690493,3.1218005321183693,-0.6907690242150457,0.0008688314677269183,0.0011499297001008697,0.755551811254815,0.03427127188263103,0.0008997954364913241,9
17,101,0.0,0.058823529411764705,0.0029697273274993663,0.0032018328294782655,-0.0012003860284888757,2.5136558783211758,-1.3829221724220435,0.0008680069294040785,0.0012737753234610262,0.681444296664173,-0.17760639500956724,0.0007221299362893951,13
17,102,0.0,0.058823529411764705,0.0007229341451184673,0.0020406486104176808,-0.00032145087612894807,3.2410963785885296,-0.47415881566124163,0.0006779392589815427,0.0006296167629875808,1.0767490620241238,-0.5385412919500971,0.0008986951727781717,7
17,103,0.0,0.058823529411764705,-8.714128776610153e-05,0.0006747873423893908,-0.00042898222065926306,1.2551656910868907,-0.9557689070076095,0.0004488346686254438,0.0005376081796858783,0.8348732135878133,-0.4543945405598843,0.00034882618844486735,5
17,104,0.0,0.058823529411764705,0.0011347413971044967,0.00239675179474233,-0.0004241026489567312,3.339129770330988,-0.7080362392563186,0.0005989843816499911,0.0007177773730263721,0.8344988350976948,-0.16601108337896572,0.0006475267853762456,7
17,105,0.0,0.058823529411764705,-8.052626524976403e-05,4.946703942346198e-05,-7.969193222252813e-05,0.7161252773487196,-1.1183078121857126,7.126117814269013e-05,6.907595778018298e-05,1.0316350352963772,-0.8061973596461963,5.616859742595126e-05,13
17,106,0.0,0.058823529411764705,-0.0002004263436671816,0.002863165159684475,-0.0009027085618587699,2.8303430259391815,-1.4921059958608396,0.0006049895680085187,0.0010115965214973906,0.5980542193966799,-0.04631074908071522,0.00044755619894890075,4
17,107,0.058823529411764705,0.058823529411764705,-0.0005991401192875778,0.0046116682385614755,-0.0005991370320262146,2.902493203240853,-0.679902204003947,0.0008812106042573388,0.0015888644402034084,0.5546166066530668,-0.1878286035964706,0.001001419395482664,10
17,108,0.0,0.058823529411764705,0.0021614550913895414,0.004433430793549076,-0.0010756834860096848,2.752791707759735,-1.1091445688742538,0.0009698316307868405,0.0016105217045851504,0.602184762878844,-0.26761424087956276,0.0008729019460481935,1
17,109,0.0,0.058823529411764705,0.0037106101255938856,0.0039941689221758,-0.0006589387481909376,2.3896328283854293,-0.5900385128363074,0.0011167724374862035,0.0016714571689553186,0.6681430180973169,-0.25371601476427363,0.0011703976579937464,9
