p,c,rank_relative_1e8,rank_energy90,rank_energy95,rank_energy99,stable_rank,top_eigenvalue,lead_largest_additive_frequency_weight,lead_participation
17,0,8,4,4,4,3.8996267487343803,668.689231572564,0.36191079529058806,3.5917319574764845
17,1,8,5,6,6,2.7771815051400477,582.3312117157825,0.6229726620544034,2.040583070941473
17,2,8,5,6,6,2.7351755768938855,586.686752724412,0.6206867734964955,2.043216377876502
17,3,8,5,6,6,2.7386169250762897,587.4997781321888,0.6182234584020564,2.0521546120353533
17,4,8,5,6,6,2.7819409839362983,582.0471671817062,0.6223447132563585,2.04032388375155
17,5,8,5,6,6,2.7422669254620824,586.7508473123123,0.62075121838752,2.0428948227246595
17,6,8,5,6,6,2.7782229360771264,581.5035152361723,0.6231252095378955,2.035719927124471
17,7,8,5,6,6,2.7370606099103036,587.736830168808,0.6182270010781644,2.051122044952572
17,8,8,5,6,6,2.7737753404087067,582.3378535084911,0.6230368227274792,2.0394829434638986
17,9,8,5,6,6,2.7737753404185566,582.3378535082466,0.6230368227275679,2.0394829434632125
17,10,8,5,6,6,2.737060609915637,587.7368301680015,0.6182270010784919,2.051122044949706
17,11,8,5,6,6,2.77822293609478,581.5035152350393,0.6231252095362546,2.035719927129101
17,12,8,5,6,6,2.742266925467589,586.7508473123514,0.6207512183869843,2.04289482272529
17,13,8,5,6,6,2.7819409839353164,582.0471671820495,0.6223447132550145,2.040323883754903
17,14,8,5,6,6,2.738616925082575,587.4997781321355,0.6182234584026659,2.0521546120319143
17,15,8,5,6,6,2.735175576890485,586.6867527258909,0.6206867734977587,2.0432163778733217
17,16,8,5,6,6,2.7771815051420554,582.3312117141568,0.6229726620530699,2.040583070948272
23,0,11,5,6,8,4.0337869451827295,1552.0549158749373,0.19580062641940807,7.5423478626083105
23,1,11,6,7,8,3.5017224094205504,1205.471828128513,0.5150684647520836,2.3569724103859033
23,2,11,6,7,8,3.376174058552204,1226.8403293496642,0.5188741690290333,2.3114862426271907
23,3,11,6,7,8,3.3296176210113133,1242.202099442114,0.5014071278502024,2.3861339561012396
23,4,11,6,7,8,3.33530378280043,1241.93761428724,0.5016546762804266,2.3907866697178646
23,5,11,6,7,8,3.408713923527097,1225.324759880819,0.5209025167007852,2.301116285950949
23,6,11,6,7,8,3.5294460313657603,1203.7991430864997,0.5065277127512822,2.365388081409694
23,7,11,6,7,8,3.4100168526648886,1226.1762635606276,0.5194113536858362,2.308734694981911
23,8,11,6,7,8,3.520264173202499,1202.0190389169293,0.507375465109105,2.357933029389104
23,9,11,6,7,8,3.5376335412664246,1202.5295917217238,0.5073967327940089,2.3613161036964105
23,10,11,6,7,8,3.3315429720329695,1243.296409873213,0.5007643983256456,2.398515439351916
23,11,11,6,7,8,3.495212011536557,1205.3972413125705,0.5157162886702287,2.3525926457176265
23,12,11,6,7,8,3.495212011545226,1205.3972413116296,0.5157162886707645,2.3525926457192012
23,13,11,6,7,8,3.3315429720258263,1243.2964098751568,0.5007643983256421,2.3985154393518164
23,14,11,6,7,8,3.537633541274319,1202.5295917212054,0.5073967327947001,2.3613161036951844
23,15,11,6,7,8,3.5202641732115385,1202.019038915653,0.5073754651086718,2.357933029391963
23,16,11,6,7,8,3.410016852654696,1226.1762635618752,0.5194113536861811,2.30873469498097
23,17,11,6,7,8,3.5294460313763407,1203.799143084585,0.5065277127526453,2.3653880814063
23,18,11,6,7,8,3.408713923526649,1225.3247598817056,0.5209025167019915,2.30111628594677
23,19,11,6,7,8,3.335303782783443,1241.937614290202,0.5016546762809614,2.3907866697152778
23,20,11,6,7,8,3.329617621007952,1242.2020994427999,0.5014071278502766,2.386133956100035
23,21,11,6,7,8,3.376174058544222,1226.8403293506346,0.5188741690298689,2.3114862426239107
23,22,11,6,7,8,3.5017224094222317,1205.4718281290777,0.5150684647495576,2.356972410392872
