p,kind,seed,iteration,epsilon,scaled_profile_relative_error,reference_profile_norm
17,general_cross,105,59,0.03,0.011948837334271522,0.0004491032392057951
17,general_cross,106,59,0.001,0.008738816945516165,0.003216726815162257
17,general_cross,106,59,0.03,0.06330144870796782,0.003216726815162257
17,general_cross,107,59,0.001,0.010377410246675373,0.0036333238196319373
17,general_cross,107,59,0.03,0.07367989383120928,0.0036333238196319373
17,general_cross,108,59,0.001,0.01473781634110085,0.0057925585603566
17,general_cross,108,59,0.03,0.09833857658095477,0.0057925585603566
17,general_cross,109,59,0.001,0.01442886535804866,0.00808890487212981
17,general_cross,109,59,0.03,0.09770189878839804,0.00808890487212981
23,pure_mode1,-1,0,0.001,2.7941306421963563e-05,1.2022804686647916e-05
23,pure_mode1,-1,1,0.001,0.00016122685269502683,4.5929530933703015e-05
23,pure_mode1,-1,2,0.001,0.0006334022775366039,0.00016250824716024709
23,pure_mode1,-1,3,0.001,0.002258296852722673,0.0005607175962424064
23,pure_mode1,-1,4,0.001,0.007348572042369555,0.0017555527171645062
23,pure_mode1,-1,5,0.001,0.019114982817829813,0.004253413972604485
23,pure_mode1,-1,6,0.001,0.0314323615882221,0.007518438336002936
23,pure_mode1,-1,7,0.001,0.03950833048239582,0.009145198564985395
23,pure_mode1,-1,8,0.001,0.043788848967674605,0.00998807986894948
23,pure_mode1,-1,9,0.001,0.03767535514102928,0.010169925353470756
23,pure_mode1,-1,10,0.001,0.03731777940129457,0.01019123618422372
23,pure_mode1,-1,11,0.001,0.03729323133600084,0.01019314231337566
23,pure_mode1,-1,12,0.001,0.037297526166770484,0.010193228378017574
23,pure_mode1,-1,13,0.001,0.037300233930312975,0.010193215176298629
23,pure_mode1,-1,14,0.001,0.03730051970514897,0.010193202589578735
23,pure_mode1,-1,15,0.001,0.03730126258935432,0.010193204383413071
23,pure_mode1,-1,16,0.001,0.03729973513762278,0.010193205056261805
23,pure_mode1,-1,17,0.001,0.03730046851342022,0.01019320584466519
23,pure_mode1,-1,18,0.001,0.03730050718777712,0.010193205283750888
23,pure_mode1,-1,19,0.001,0.03730020027597726,0.010193202749880738
23,pure_mode1,-1,20,0.001,0.037301525862528995,0.010193204143325665
23,pure_mode1,-1,21,0.001,0.037301175775021685,0.010193204165260279
23,pure_mode1,-1,22,0.001,0.037301564601262535,0.010193204921074535
23,pure_mode1,-1,23,0.001,0.0373004366530477,0.010193203045984884
23,pure_mode1,-1,24,0.001,0.037300695947324554,0.010193205107079975
23,pure_mode1,-1,25,0.001,0.0373006138930146,0.01019320380888186
23,pure_mode1,-1,26,0.001,0.03730115182971957,0.010193204056839864
23,pure_mode1,-1,27,0.001,0.03730045583816419,0.01019320237418766
23,pure_mode1,-1,28,0.001,0.03730062405810264,0.010193203117788464
23,pure_mode1,-1,29,0.001,0.037301077512853754,0.010193202851978167
23,pure_mode1,-1,30,0.001,0.037301573902596086,0.01019320464739301
23,pure_mode1,-1,31,0.001,0.03730069726875873,0.010193203350583158
23,pure_mode1,-1,32,0.001,0.03730165520658823,0.010193205158635602
23,pure_mode1,-1,33,0.001,0.037300751039172124,0.01019320262543721
23,pure_mode1,-1,34,0.001,0.03730098968498128,0.010193204262781476
23,pure_mode1,-1,35,0.001,0.03730039553875783,0.010193203451481354
23,pure_mode1,-1,36,0.001,0.03730075848307395,0.010193202979005871
23,pure_mode1,-1,37,0.001,0.0373011472336145,0.01019320258848404
23,pure_mode1,-1,38,0.001,0.037301046397912097,0.010193205406722135
23,pure_mode1,-1,39,0.001,0.03730068755327127,0.010193202453676336
23,pure_mode1,-1,40,0.001,0.03730022537543786,0.010193203021333974
23,pure_mode1,-1,41,0.001,0.03730085671198617,0.010193202211197915
23,pure_mode1,-1,42,0.001,0.037300509067484236,0.01019320340884101
23,pure_mode1,-1,43,0.001,0.03730110109897575,0.010193202832992576
23,pure_mode1,-1,44,0.001,0.037300277655117973,0.010193204271315242
23,pure_mode1,-1,45,0.001,0.03730108594094554,0.010193201457353042
23,pure_mode1,-1,46,0.001,0.037299691821716906,0.010193201315735461
23,pure_mode1,-1,47,0.001,0.03730097269125621,0.010193202452639431
23,pure_mode1,-1,48,0.001,0.03730093531927142,0.010193201236712733
23,pure_mode1,-1,49,0.001,0.03730010028775889,0.010193203191189371
23,pure_mode1,-1,50,0.001,0.03730060968198951,0.010193203063218503
23,pure_mode1,-1,51,0.001,0.03730092412425288,0.01019320353419561
23,pure_mode1,-1,52,0.001,0.03730119349726814,0.010193204702582472
23,pure_mode1,-1,53,0.001,0.037301113307098094,0.010193204145041714
23,pure_mode1,-1,54,0.001,0.03730070946885179,0.01019320060382924
23,pure_mode1,-1,55,0.001,0.03730041530024004,0.010193203908763068
23,pure_mode1,-1,56,0.001,0.037300928195166554,0.010193202399656218
23,pure_mode1,-1,57,0.001,0.03730092617383029,0.01019320137157758
23,pure_mode1,-1,58,0.001,0.03730090802280645,0.010193204602914528
23,pure_mode1,-1,59,0.001,0.03730027234705592,0.01019320133740312
23,general_cross,100,59,0.001,0.013091279713083,0.007882695874543977
23,general_cross,100,59,0.03,0.09196399835986263,0.007882695874543977
23,general_cross,101,59,0.001,0.00817159961805729,0.005236807668391229
23,general_cross,101,59,0.03,0.06043748919312194,0.005236807668391229
23,general_cross,102,59,0.001,0.014447009221732896,0.006513691382712877
23,general_cross,102,59,0.03,0.10070418898057623,0.006513691382712877
23,general_cross,103,59,0.001,0.012199580305082442,0.0027546030195570973
23,general_cross,103,59,0.03,0.08734583616770257,0.0027546030195570973
23,general_cross,104,59,0.001,0.004252237826997028,0.001959253443548764
23,general_cross,104,59,0.03,0.03322113691523596,0.001959253443548764
23,general_cross,105,59,0.001,0.023354158412954844,0.0058615075757524355
23,general_cross,105,59,0.03,0.15073773455093978,0.0058615075757524355
23,general_cross,106,59,0.001,0.016711258034604243,0.007747861090019411
23,general_cross,106,59,0.03,0.11196283814147397,0.007747861090019411
23,general_cross,107,59,0.001,0.01753813486713112,0.008160455985751715
23,general_cross,107,59,0.03,0.11746844047311018,0.008160455985751715
23,general_cross,108,59,0.001,0.024496816033056774,0.010865084514199146
23,general_cross,108,59,0.03,0.15587366633458394,0.010865084514199146
23,general_cross,109,59,0.001,0.019568866532640432,0.010627494438777656
23,general_cross,109,59,0.03,0.12822439809188352,0.010627494438777656
