p,seed,actual_acc,predicted_acc,accuracy_error_pp,error_test_quanta,observed_profile_margin,predicted_profile_margin,observed_normalized_profile_margin,predicted_normalized_profile_margin,mean_pointwise_margin,profile_rms,profile_margin_error
17,100,0.7058823529411765,0.8869313875967076,18.104903465553114,3.077833589144029,0.00041312289491148013,0.0004192234769148424,0.4813336644544582,0.4964517663173723,0.00018591173276257631,0.0008582879723979251,6.100582003362265e-06
17,101,1.0,1.0,0.0,0.0,0.0029697273274993663,0.0029784498158456274,1.614072134188736,1.6158404297232558,0.0026913876185322345,0.001839897526631924,8.722488346261069e-06
17,102,1.0,0.9656862745098039,3.4313725490196068,0.5833333333333331,0.0007229341451184673,0.0007306883872132692,0.8829395363337199,0.8885342531078506,0.0005377957846259135,0.0008187810324140065,7.754242094801895e-06
17,103,0.11764705882352941,0.17647058823529413,5.882352941176472,1.0000000000000002,-8.714128776610153e-05,-8.2522055808338e-05,-0.1655980411084638,-0.15818096848498628,-0.00017425313057245728,0.0005262217305398288,4.619231957763521e-06
17,104,1.0,0.9656862745098039,3.4313725490196068,0.5833333333333331,0.0011347413971044967,0.0011048014000582733,1.0371876018351018,1.0137034975289938,0.0009567126112784095,0.0010940560753877047,-2.9939997046223455e-05
17,105,0.058823529411764705,0.005787331019337585,5.303619839242712,0.901615372671261,-8.052626524976403e-05,-6.267683100519614e-05,-0.7392917001632656,-0.5714067722320115,-0.00011707951308259797,0.00010892353482661926,1.7849434244567887e-05
17,106,0.058823529411764705,0.0392156862745098,1.9607843137254901,0.3333333333333333,-0.0002004263436671816,-0.0001964918261889297,-0.2569005801801205,-0.255806891805374,-0.00036605970336713603,0.0007801708486865107,3.934517478251906e-06
17,107,0.058823529411764705,0.0,5.88235294117647,1.0,-0.0005991401192875778,-0.0006390105725204449,-0.6799058159969061,-0.7319366950604461,-0.0007939244722173745,0.0008812104635538287,-3.9870453232867045e-05
17,108,1.0,1.0,0.0,0.0,0.0021614550913895414,0.0021184047019151097,1.5385097196634159,1.5179284528567432,0.002009574995058051,0.0014049018109956492,-4.3050389474431645e-05
17,109,1.0,1.0,0.0,0.0,0.0037106101255938856,0.003705223903187961,1.8913855120268845,1.9015592430089079,0.0035165132913535253,0.0019618475990214428,-5.3862224059244256e-06
17,110,1.0,0.9656862745098039,3.4313725490196068,0.5833333333333331,0.0017209640510702923,0.0017179676806537794,0.8859796143976647,0.8764968107752744,0.0016079251510754799,0.001942442041671911,-2.9963704165129022e-06
17,111,0.47058823529411764,0.5427051542875836,7.2116918993465955,1.2259876228889213,5.04632659798776e-05,5.932134457769568e-05,0.13055954024342,0.15494923667130808,-7.302899728933558e-05,0.0003865153468355666,8.858078597818076e-06
17,112,1.0,1.0,0.0,0.0,0.0015626667971219005,0.0015495890286906476,2.0337420711557446,2.048406446747939,0.0014446827739485575,0.0007683701976199277,-1.3077768431252884e-05
17,113,1.0,1.0,0.0,0.0,0.001577157323389422,0.0016500641284778045,1.4007475896316892,1.4399067475332865,0.001428096929286773,0.0011259397018160266,7.290680508838243e-05
17,114,0.17647058823529413,0.17647058823529413,0.0,0.0,-0.00017210477648164912,-0.00016658561338600076,-0.146597159536008,-0.14111530744626852,-0.0002649185559417971,0.0011739980298825353,5.519163095648368e-06
17,115,0.6470588235294118,0.5848597636524044,6.219905987700736,1.0573840179091252,0.000250292788096268,0.00019261316749244342,0.21349305300265872,0.16600352854814066,0.00011280469769192451,0.001172369707473109,-5.767962060382456e-05
17,116,1.0,1.0,0.0,0.0,0.0008282697201371092,0.000818408950074863,2.127982798127781,2.141099188640141,0.0007326869750954835,0.0003892276389009481,-9.860770062246164e-06
17,117,1.0,0.9176470588235294,8.235294117647063,1.4000000000000008,0.00041791260533793895,0.0004061205670606999,0.6507707680711724,0.6368500882255229,0.0003357702394712573,0.0006421809734579741,-1.179203827723907e-05
17,118,1.0,0.9670045814422912,3.299541855770882,0.56092211548105,0.0017132715835423695,0.0017129810997906444,1.3323515516082656,1.3462915566501763,0.0016109983374443337,0.0012859005428967302,-2.9048375172510514e-07
17,119,1.0,1.0,0.0,0.0,0.0008931507451923615,0.0009326155992470345,1.801784181888923,1.8584603144300005,0.0007889042991517969,0.0004957035110919975,3.9464854054673025e-05
