phase,run,p,seed,kind,iteration,acc,mse,mean_margin,min_margin,relative_residual,symmetry_defect,elapsed_s
discovery,p17_s30_cross,17,30,cross,0,0.0,0.07091928837156095,-0.13185423702417617,-0.13193775692672433,5.527386971528416e-14,0.019999000074993754,0.772701799
discovery,p17_s30_cross,17,30,cross,1,0.0,0.07093480258052559,-0.1319858517900088,-0.1320747651064246,7.489521795272863e-14,0.021113518079169863,0.8424408669999988
discovery,p17_s30_cross,17,30,cross,2,0.0,0.07090258967564503,-0.1317385371953524,-0.1318364652146202,8.062676852533878e-14,0.023127950303809982,0.8647411319999989
discovery,p17_s30_cross,17,30,cross,3,0.0,0.07077432680545614,-0.13073150975908193,-0.13084126329793097,6.898657684314105e-14,0.02851052045145496,0.8881549719999988
discovery,p17_s30_cross,17,30,cross,4,0.0,0.07021508000124951,-0.12627666532095544,-0.12641207645720814,6.814132851019026e-14,0.039082292129620555,0.9095786529999987
discovery,p17_s30_cross,17,30,cross,5,0.0,0.06783330890805724,-0.10693586576200599,-0.10716140740369265,4.432630125817681e-14,0.051648059559227855,0.93146108
discovery,p17_s30_cross,17,30,cross,6,0.0,0.06126621940439782,-0.051756032335518606,-0.0519703517078032,3.960395686700986e-14,0.05862018075702911,0.9575211639999992
discovery,p17_s30_cross,17,30,cross,7,0.0,0.05633074886876469,-0.008395038320092658,-0.00857398156498513,3.4949760390595337e-14,0.060036173211103154,0.9809283410000003
discovery,p17_s30_cross,17,30,cross,8,0.0,0.05550958618716704,-0.0009594414925282082,-0.0011549618684318225,3.583069056319668e-14,0.06017800264672452,1.003855282
discovery,p17_s30_cross,17,30,cross,9,0.0,0.05542953875653616,-0.00021463696160648894,-0.0004204007445468977,3.630757653408825e-14,0.060192739543269876,1.0249343240000002
discovery,p17_s30_cross,17,30,cross,10,0.058823529411764705,0.055422147837824114,-0.00014449991322064182,-0.0003516609724503461,3.304078307339268e-14,0.060194384841369235,1.0463470039999994
discovery,p17_s30_cross,17,30,cross,11,0.058823529411764705,0.05542146575951349,-0.00013788729941173472,-0.00034523439106080855,3.6673424437555735e-14,0.06019456612271613,1.0711475870000005
discovery,p17_s30_cross,17,30,cross,12,0.058823529411764705,0.05542140211166763,-0.0001372554969371813,-0.00034463047523146384,3.46080645462157e-14,0.060194586126368035,1.0916221830000001
discovery,p17_s30_cross,17,30,cross,13,0.058823529411764705,0.05542139733377537,-0.00013720653184596108,-0.0003445846328506974,3.6180893089882257e-14,0.060194587855592854,1.1114157039999988
discovery,p17_s30_cross,17,30,cross,14,0.058823529411764705,0.055421396976354544,-0.00013720248579150474,-0.0003445718434366418,3.6924140662843804e-14,0.060194587829853326,1.1397036069999995
discovery,p17_s30_cross,17,30,cross,15,0.058823529411764705,0.05542139739570259,-0.0001372076406801318,-0.0003445880181892069,3.7985296452133677e-14,0.06019458750694524,1.1639905419999987
discovery,p17_s30_cross,17,30,cross,16,0.058823529411764705,0.05542139727416126,-0.0001372056045354647,-0.00034458578760521164,3.237634784230098e-14,0.060194587353254246,1.184508266
discovery,p17_s30_cross,17,30,cross,17,0.058823529411764705,0.055421397509251465,-0.00013720790578435714,-0.00034457248650783534,3.3256479062045114e-14,0.06019458708268172,1.2114493999999993
discovery,p17_s30_cross,17,30,cross,18,0.058823529411764705,0.055421397426056195,-0.0001372078756950862,-0.0003445809200014055,3.658309694579144e-14,0.060194586902724875,1.2491087790000002
discovery,p17_s30_cross,17,30,cross,19,0.058823529411764705,0.055421397122665264,-0.00013720511431398937,-0.0003445724492171093,3.481000176789447e-14,0.06019458684153469,1.2647324219999998
discovery,p17_s30_cross,17,30,cross,20,0.058823529411764705,0.05542139670929965,-0.0001372017022694054,-0.00034457213294593336,3.5380178807210216e-14,0.06019458675165485,1.294473881
discovery,p17_s30_cross,17,30,cross,21,0.058823529411764705,0.055421397155902496,-0.00013720559280092244,-0.00034458113487455255,3.497682142600591e-14,0.060194586464681045,1.3210088950000003
discovery,p17_s30_cross,17,30,cross,22,0.058823529411764705,0.055421397089063754,-0.00013720419139807654,-0.0003445816951124919,3.825210189989159e-14,0.060194586352727085,1.3384296839999994
discovery,p17_s30_cross,17,30,cross,23,0.058823529411764705,0.05542139745424566,-0.00013720747762535133,-0.0003445876738316922,3.848750984498025e-14,0.060194586120902505,1.3521202910000003
discovery,p17_s30_cross,17,30,cross,24,0.058823529411764705,0.05542139698732483,-0.00013720375858630076,-0.00034458381471691446,3.5982965146796126e-14,0.060194585987595875,1.3668026519999987
discovery,p17_s30_cross,17,30,cross,25,0.058823529411764705,0.05542139749695646,-0.00013720778176057568,-0.00034459501208264354,3.64456378102768e-14,0.060194585721341454,1.380663427
discovery,p17_s30_cross,17,30,cross,26,0.058823529411764705,0.055421397359009895,-0.0001372070306255816,-0.00034458630924824596,3.452652955453944e-14,0.060194585543811116,1.3946846359999991
discovery,p17_s30_cross,17,30,cross,27,0.058823529411764705,0.055421396720330446,-0.0001372020060330716,-0.00034456963719854683,3.301832664748743e-14,0.06019458554313058,1.4091058099999998
discovery,p17_s30_cross,17,30,cross,28,0.058823529411764705,0.055421397514547575,-0.00013720871674202418,-0.0003445837274345248,3.387823206946918e-14,0.06019458518712487,1.422526336999999
discovery,p17_s30_cross,17,30,cross,29,0.058823529411764705,0.055421397198795616,-0.00013720555453309563,-0.00034457120931735696,3.689605708572156e-14,0.060194585055603045,1.4358966549999987
discovery,p17_s30_cross,17,30,cross,30,0.058823529411764705,0.055421397277244815,-0.00013720616394550015,-0.00034458883755200675,3.338498079495228e-14,0.06019458495506022,1.4498011039999987
discovery,p17_s30_cross,17,30,cross,31,0.058823529411764705,0.055421396789196456,-0.0001372019245801822,-0.0003445702680774515,3.2015995523907916e-14,0.06019458488978876,1.463471406
discovery,p17_s30_cross,17,30,cross,32,0.058823529411764705,0.055421396986602964,-0.00013720362551672253,-0.0003445717774323287,3.586641803024149e-14,0.060194584683226256,1.4767452270000003
discovery,p17_s30_cross,17,30,cross,33,0.058823529411764705,0.05542139710221776,-0.00013720405770537177,-0.00034457419176010806,3.845711537384555e-14,0.060194584543364744,1.4893591359999991
discovery,p17_s30_cross,17,30,cross,34,0.058823529411764705,0.05542139699439757,-0.00013720375453156054,-0.0003445682944662881,3.9796994262487423e-14,0.06019458436958385,1.5019661289999995
discovery,p17_s30_cross,17,30,cross,35,0.058823529411764705,0.055421397433996836,-0.00013720790565893294,-0.0003445735836509617,3.51390721815251e-14,0.06019458406856863,1.5152672850000002
discovery,p17_s30_cross,17,30,cross,36,0.058823529411764705,0.05542139736089202,-0.0001372066075332925,-0.0003445791273629095,3.4488304224574963e-14,0.06019458400747227,1.5278468360000002
discovery,p17_s30_cross,17,30,cross,37,0.058823529411764705,0.055421397004851596,-0.00013720339162751877,-0.00034457989152412993,3.5718782161618903e-14,0.060194583938045006,1.541337885999999
discovery,p17_s30_cross,17,30,cross,38,0.058823529411764705,0.05542139709681829,-0.0001372056990917295,-0.0003445688829381982,3.639931268259456e-14,0.060194583741776705,1.55368202
discovery,p17_s30_cross,17,30,cross,39,0.058823529411764705,0.055421397223347886,-0.00013720582926613178,-0.00034457572973753403,3.5566210947167424e-14,0.06019458347839181,1.5778938989999993
discovery,p17_s30_cross,17,30,cross,40,0.058823529411764705,0.05542139712505013,-0.00013720474201708692,-0.00034457136707843894,3.395509800588665e-14,0.06019458331048296,1.6075663509999991
discovery,p17_s30_cross,17,30,cross,41,0.058823529411764705,0.05542139696323229,-0.00013720254488716447,-0.00034458229007386376,3.428532296195168e-14,0.060194583342266475,1.6357539929999998
discovery,p17_s30_cross,17,30,cross,42,0.058823529411764705,0.05542139664732518,-0.00013719980964117153,-0.00034457189748836325,3.629597976403725e-14,0.060194583276581975,1.6606586090000004
discovery,p17_s30_cross,17,30,cross,43,0.058823529411764705,0.05542139739800137,-0.00013720705397823966,-0.0003445863899453616,3.7740787499835354e-14,0.06019458289165342,1.688960905
discovery,p17_s30_cross,17,30,cross,44,0.058823529411764705,0.0554213974610712,-0.0001372081344649112,-0.00034457922700475985,3.769581101275811e-14,0.060194582622939696,1.7056552739999997
discovery,p17_s30_cross,17,30,cross,45,0.058823529411764705,0.0554213975973991,-0.00013720912084283499,-0.00034457445817061283,3.360954655870082e-14,0.060194582319861197,1.7320516599999998
discovery,p17_s30_cross,17,30,cross,46,0.058823529411764705,0.05542139740136124,-0.0001372073604942883,-0.0003445764259610018,4.286389442283406e-14,0.06019458208680795,1.7604188389999997
discovery,p17_s30_cross,17,30,cross,47,0.058823529411764705,0.05542139698651833,-0.00013720375775715926,-0.0003445792684437232,3.495580828958581e-14,0.06019458201075964,1.7872802839999995
discovery,p17_s30_cross,17,30,cross,48,0.058823529411764705,0.055421397067352364,-0.0001372038671945759,-0.0003445718225047606,3.189912796416143e-14,0.06019458184920406,1.7995160259999992
discovery,p17_s30_cross,17,30,cross,49,0.058823529411764705,0.05542139708109205,-0.0001372041863138045,-0.00034458411159830893,3.6190318365362444e-14,0.06019458171339079,1.8117564789999996
discovery,p17_s30_cross,17,30,cross,50,0.058823529411764705,0.05542139725319609,-0.00013720484028358234,-0.00034458580778005954,3.497648270073403e-14,0.06019458151557221,1.8253065759999991
discovery,p17_s30_cross,17,30,cross,51,0.058823529411764705,0.05542139706397977,-0.0001372049461361615,-0.000344583958110517,3.534104559931624e-14,0.06019458134228482,1.85477137
discovery,p17_s30_cross,17,30,cross,52,0.058823529411764705,0.05542139728963553,-0.00013720542896304943,-0.00034457737965988555,3.856932431216191e-14,0.06019458117657878,1.8798006130000005
discovery,p17_s30_cross,17,30,cross,53,0.058823529411764705,0.0554213966185198,-0.00013720022124670387,-0.00034456946022509705,3.686340296965094e-14,0.060194581243620725,1.9039974720000004
discovery,p17_s30_cross,17,30,cross,54,0.058823529411764705,0.05542139740395625,-0.00013720673450605322,-0.000344576418244244,3.4750318734821494e-14,0.060194580843907206,1.9202937149999997
discovery,p17_s30_cross,17,30,cross,55,0.058823529411764705,0.055421396609203526,-0.00013719962775317503,-0.0003445710914939393,3.3786655860284526e-14,0.06019458090245801,1.939986917999999
discovery,p17_s30_cross,17,30,cross,56,0.058823529411764705,0.055421397223475416,-0.0001372052806702833,-0.0003445727343576038,3.960104917511642e-14,0.06019458064867705,1.9543336589999996
discovery,p17_s30_cross,17,30,cross,57,0.058823529411764705,0.05542139701371149,-0.0001372040477729223,-0.00034457447722976986,3.6467643888958673e-14,0.06019458051550048,1.967865432
discovery,p17_s30_cross,17,30,cross,58,0.058823529411764705,0.055421397061473275,-0.0001372044136520279,-0.00034458358419024726,3.811543434439e-14,0.060194580430647945,1.9804752319999999
discovery,p17_s30_cross,17,30,cross,59,0.058823529411764705,0.0554213970733482,-0.00013720349055284012,-0.0003445768407952937,3.586119768609691e-14,0.06019458030037126,1.992931647999999
discovery,p17_s31_cross,17,31,cross,0,0.0,0.07092128176381603,-0.13186470009945175,-0.131940053899833,5.255038489735114e-14,0.019999000074993754,0.03661100200000078
discovery,p17_s31_cross,17,31,cross,1,0.0,0.07093477860652063,-0.13199802992131066,-0.13207829480634362,7.933752574218783e-14,0.023381232170767062,0.0599073360000002
discovery,p17_s31_cross,17,31,cross,2,0.0,0.07089524843658467,-0.13172965730748082,-0.13185479102990127,7.750533248900172e-14,0.0303993657294003,0.07564387799999928
discovery,p17_s31_cross,17,31,cross,3,0.0,0.07074051373830582,-0.13060790257650823,-0.1307527688142787,6.949904685200537e-14,0.04567885428945672,0.09045953799999928
discovery,p17_s31_cross,17,31,cross,4,0.0,0.07008706008039367,-0.12562006216153482,-0.12592501388543875,6.733491753524857e-14,0.07172913720439462,0.11065460999999921
discovery,p17_s31_cross,17,31,cross,5,0.0,0.06742909740768152,-0.10452016995993525,-0.10503017852152946,5.0564253602593875e-14,0.10058083775751038,0.13059535800000077
discovery,p17_s31_cross,17,31,cross,6,0.0,0.06069199952224811,-0.048354854534841486,-0.04888853334733273,3.9423460756498694e-14,0.11631510417333278,0.15193823000000073
discovery,p17_s31_cross,17,31,cross,7,0.0,0.05613888558462776,-0.00845915730323072,-0.008779240862485306,3.706994453403843e-14,0.11958176622791532,0.17355277100000066
discovery,p17_s31_cross,17,31,cross,8,0.0,0.0553466577157002,-0.0012666988346459167,-0.0014987390762122438,3.6218310303414677e-14,0.1199644704004226,0.1957210570000001
discovery,p17_s31_cross,17,31,cross,9,0.058823529411764705,0.05524647354296114,-0.0003295670330119947,-0.0005441429716724899,3.453488124918889e-14,0.1200204833549246,0.21451566900000074
discovery,p17_s31_cross,17,31,cross,10,0.1764705882352941,0.055233950349164264,-0.00020874425500086119,-0.00041995239954185914,3.415892999705575e-14,0.12002926232310314,0.22824912099999928
discovery,p17_s31_cross,17,31,cross,11,0.1764705882352941,0.05523236350787717,-0.00019291629685276915,-0.00040352852474356826,3.6304052539133786e-14,0.12003062534904686,0.24112475199999928
discovery,p17_s31_cross,17,31,cross,12,0.1764705882352941,0.0552321590642399,-0.00019080309812675018,-0.00040131513805179153,3.640551345395635e-14,0.12003083454551915,0.25453439300000014
discovery,p17_s31_cross,17,31,cross,13,0.1764705882352941,0.05523213183536648,-0.00019051147272661624,-0.00040100503867797344,3.3943385629801374e-14,0.12003086685424909,0.26751316500000044
discovery,p17_s31_cross,17,31,cross,14,0.1764705882352941,0.05523212919087364,-0.00019048067737615864,-0.00040097617452646006,3.527945821373118e-14,0.12003087124183176,0.2798742839999999
discovery,p17_s31_cross,17,31,cross,15,0.1764705882352941,0.055232129173762454,-0.00019047936943798014,-0.00040096744944902174,3.499411941831225e-14,0.12003087135186574,0.29383723299999964
discovery,p17_s31_cross,17,31,cross,16,0.1764705882352941,0.05523212865234018,-0.0001904745072614364,-0.0004009654019862252,3.438290982161297e-14,0.12003087157308782,0.30652742400000044
discovery,p17_s31_cross,17,31,cross,17,0.1764705882352941,0.05523212969023884,-0.0001904840841947261,-0.00040098315592376754,3.304837114891623e-14,0.1200308708372078,0.3190717920000008
discovery,p17_s31_cross,17,31,cross,18,0.1764705882352941,0.05523212895096491,-0.00019047709303437777,-0.0004009668888431406,3.790539135995848e-14,0.12003087081123151,0.33538938500000093
discovery,p17_s31_cross,17,31,cross,19,0.1764705882352941,0.05523212905330089,-0.00019047852982684136,-0.0004009691401972437,3.112942147525035e-14,0.12003087046023748,0.349119215
discovery,p17_s31_cross,17,31,cross,20,0.1764705882352941,0.05523212887270459,-0.00019047738218487705,-0.0004009643519617412,3.31296039309294e-14,0.12003087040570247,0.36408225199999933
discovery,p17_s31_cross,17,31,cross,21,0.1764705882352941,0.05523212903947958,-0.00019047841906202084,-0.0004009724829826533,3.390730331827515e-14,0.1200308701417922,0.3770473560000003
discovery,p17_s31_cross,17,31,cross,22,0.1764705882352941,0.055232129056712945,-0.00019047877266592842,-0.0004009675106989574,3.357428669751899e-14,0.12003086992469376,0.38943841799999923
discovery,p17_s31_cross,17,31,cross,23,0.1764705882352941,0.055232129633081654,-0.00019048299969377628,-0.00040097687186302355,3.452790363909748e-14,0.12003086933419901,0.4022970560000001
discovery,p17_s31_cross,17,31,cross,24,0.1764705882352941,0.055232128906704155,-0.0001904773036122515,-0.0004009634014472685,3.469195140745313e-14,0.12003086942483442,0.4157950079999999
discovery,p17_s31_cross,17,31,cross,25,0.1764705882352941,0.055232128632206896,-0.00019047431063255738,-0.0004009642856014489,3.315285330226163e-14,0.12003086954615835,0.4294754590000007
discovery,p17_s31_cross,17,31,cross,26,0.1764705882352941,0.055232129547140504,-0.00019048300688922557,-0.00040098576015640264,3.5370018215519066e-14,0.12003086873116565,0.4420982270000007
discovery,p17_s31_cross,17,31,cross,27,0.1764705882352941,0.05523212889861064,-0.00019047726393693702,-0.0004009653431987642,3.431915041735005e-14,0.12003086890368238,0.4549460520000004
discovery,p17_s31_cross,17,31,cross,28,0.1764705882352941,0.05523212917167329,-0.00019047920862745512,-0.0004009655115103372,3.4948460122602103e-14,0.12003086862151155,0.4719671089999995
discovery,p17_s31_cross,17,31,cross,29,0.1764705882352941,0.05523212955233922,-0.00019048348524333843,-0.0004009657827959284,3.7449217116288217e-14,0.12003086797547012,0.4900863710000003
discovery,p17_s31_cross,17,31,cross,30,0.1764705882352941,0.0552321290428884,-0.00019047750990240642,-0.00040097360070805166,3.476546271726764e-14,0.12003086802500203,0.5100220190000009
