p,seed,signal,predicted_acc,constant_acc,circulant_fraction,frequency_concentration,spectral_fraction,effective_rank,centered_energy_fraction,actual_acc,absolute_error,constant_error,profile_cosine,profile_relative_l2,raw_step5_acc,raw_step10_acc
17,100,0.49645176631737314,0.8869313875967076,0.7102941176470589,0.07881596029675399,0.4124653332294685,0.19184749648427202,8.11440834049492,0.9156193319594249,0.7058823529411765,0.18104903465553113,0.004411764705882337,0.9998279774450147,0.024471051208820194,0.0,0.7058823529411765
17,101,1.6158404297232558,1.0,0.7102941176470589,0.07579667834472077,0.5484758955194446,0.18014394320292018,8.445884707480543,0.8643925764382835,1.0,0.0,0.28970588235294115,0.9999549762889519,0.009674558787309273,0.0,1.0
17,102,0.8885342531078508,0.9656862745098039,0.7102941176470589,0.05009155566423042,0.3322861216281573,0.17799681635739548,8.012590042294738,0.8608913518274495,1.0,0.03431372549019607,0.28970588235294115,0.999953436169204,0.010609458512798911,0.0,1.0
17,103,-0.15818096848498614,0.17647058823529413,0.7102941176470589,0.02580295125140001,0.6494639985287918,0.17155522982632312,8.390221031473146,0.9136833146047048,0.11764705882352941,0.05882352941176472,0.5926470588235294,0.9999728234866126,0.011310144678550307,0.0,0.11764705882352941
17,104,1.013703497528994,0.9656862745098039,0.7102941176470589,0.05965116205273243,0.31638727322185556,0.1754935639351221,8.883556979909491,0.9257910431539064,1.0,0.03431372549019607,0.28970588235294115,0.999970479748479,0.008572004714981131,0.0,1.0
17,105,-0.5714067722320115,0.005787331019337585,0.7102941176470589,0.0037689299158044313,0.8648334991807413,0.18039926327091957,8.581268688294495,0.9406006538943024,0.058823529411764705,0.05303619839242712,0.6514705882352941,0.9985662358990023,0.054194189515145,0.0,0.058823529411764705
17,106,-0.2558068918053747,0.0392156862745098,0.7102941176470589,0.06198342458779351,0.39421112290064725,0.16649472099118545,9.188139675444132,0.8666124229161416,0.058823529411764705,0.0196078431372549,0.6514705882352941,0.9999542221928064,0.018124892724180153,0.0,0.058823529411764705
17,107,-0.7319366950604462,0.0,0.7102941176470589,0.09964707905793581,0.3261132617023044,0.15668712249670103,9.564613781046425,0.8525766541072731,0.058823529411764705,0.058823529411764705,0.6514705882352941,0.9998919978832697,0.01731915164656738,0.0,0.058823529411764705
17,108,1.5179284528567434,1.0,0.7102941176470589,0.10077226624653712,0.4681741852696977,0.19980066366004043,7.992384035442133,0.9433828251453248,1.0,0.0,0.28970588235294115,0.999918200222748,0.014368482536579439,0.0,1.0
17,109,1.9015592430089079,1.0,0.7102941176470589,0.09890941064555109,0.43477395157502896,0.204590183890446,7.471064707365586,0.9288651388220793,1.0,0.0,0.28970588235294115,0.9999648027633411,0.01077380185402296,0.0,1.0
17,110,0.8764968107752744,0.9656862745098039,0.7102941176470589,0.07404905992388008,0.6389992632231828,0.16620094751807274,9.428858796411815,0.8738507896687433,1.0,0.03431372549019607,0.28970588235294115,0.9999940060336389,0.00970375385378213,0.0,1.0
17,111,0.15494923667130892,0.5427051542875836,0.7102941176470589,0.026355240425087155,0.4092262869573698,0.18729938703773252,8.504763342277162,0.9078574037867961,0.47058823529411764,0.07211691899346595,0.2397058823529412,0.9999479156017699,0.01390738248724907,0.0,0.4117647058823529
17,112,2.0484064467479395,1.0,0.7102941176470589,0.07649969101883274,0.4580870227481416,0.17406803755895706,8.399148708187052,0.856787557820877,1.0,0.0,0.28970588235294115,0.9999199747335322,0.01992060143576004,0.0,1.0
17,113,1.4399067475332865,1.0,0.7102941176470589,0.06444306239977125,0.3689071995034191,0.1981131405666554,7.735668156745409,0.8513440949676785,1.0,0.0,0.28970588235294115,0.9999370359687301,0.021073180868122023,0.0,1.0
17,114,-0.14111530744626852,0.17647058823529413,0.7102941176470589,0.053213177353253274,0.4305141138859776,0.17077245497993213,8.33398524811456,0.9257675279071185,0.17647058823529413,0.0,0.5338235294117647,0.9999705059533948,0.009482618849693586,0.0,0.17647058823529413
17,115,0.16600352854814038,0.5848597636524044,0.7102941176470589,0.10092831207151835,0.366949326614848,0.1815396214167371,8.273006276272389,0.8672763855637422,0.6470588235294118,0.06219905987700736,0.06323529411764706,0.999932697524207,0.015468853445314155,0.0,0.6470588235294118
17,116,2.1410991886401405,1.0,0.7102941176470589,0.03631400698467355,0.3492033237770332,0.1680247053025541,8.760127054360671,0.8943366622951103,1.0,0.0,0.28970588235294115,0.99992067589598,0.021870097087617654,0.0,1.0
17,117,0.6368500882255236,0.9176470588235294,0.7102941176470589,0.03706586268551675,0.2970175563223793,0.16366542324174863,9.328443380326709,0.8543993955905047,1.0,0.08235294117647063,0.28970588235294115,0.9999326772279737,0.01350378263194374,0.0,1.0
17,118,1.3462915566501763,0.9670045814422912,0.7102941176470589,0.05628529627469091,0.6553402185621275,0.20859255569372884,7.603118731284733,0.8245972429197538,1.0,0.03299541855770882,0.28970588235294115,0.9999939079115011,0.01108025108673453,0.0,1.0
17,119,1.8584603144300007,1.0,0.7102941176470589,0.025872557559006817,0.33652566859521665,0.17531301255094436,8.62421860533476,0.8242449707184449,1.0,0.0,0.28970588235294115,0.9999017300003183,0.018742956043438546,0.0,1.0
