p,seed,base_acc,phase_best,phase_best_control0,phase_best_control1,phase_best_control2,phase_worst,phase_worst_control0,phase_worst_control1,phase_worst_control2,remove,remove_control0,remove_control1,remove_control2,phase_best_control_mean,phase_best_effect,phase_worst_control_mean,phase_worst_effect,remove_control_mean,remove_effect,best_minus_worst
17,100,0.7058823529411764,1.0,1.0,0.11764705882352941,1.0,0.0,0.7058823529411764,1.0,0.8823529411764706,0.0,0.11764705882352941,0.7058823529411764,0.8823529411764706,0.7058823529411765,0.2941176470588235,0.8627450980392156,-0.8627450980392156,0.5686274509803921,-0.5686274509803921,1.0
17,101,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.058823529411764705,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,-0.9411764705882353,1.0
17,102,1.0,1.0,0.47058823529411764,0.9411764705882353,0.9411764705882353,0.0,1.0,0.058823529411764705,0.8823529411764706,0.0,1.0,1.0,1.0,0.784313725490196,0.21568627450980404,0.6470588235294118,-0.6470588235294118,1.0,-1.0,1.0
17,103,0.11764705882352941,1.0,0.0,0.6470588235294118,0.47058823529411764,0.0,0.11764705882352941,1.0,0.1764705882352941,0.058823529411764705,0.0,0.0,0.0,0.37254901960784315,0.6274509803921569,0.43137254901960786,-0.43137254901960786,0.0,0.058823529411764705,1.0
17,104,1.0,1.0,0.058823529411764705,1.0,1.0,0.0,1.0,0.6470588235294118,0.6470588235294118,0.058823529411764705,1.0,1.0,1.0,0.6862745098039215,0.31372549019607854,0.7647058823529411,-0.7647058823529411,1.0,-0.9411764705882353,1.0
17,105,0.058823529411764705,0.29411764705882354,0.1764705882352941,0.23529411764705882,0.23529411764705882,0.0,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.11764705882352941,0.2156862745098039,0.07843137254901963,0.11764705882352942,-0.11764705882352942,0.0980392156862745,-0.03921568627450979,0.29411764705882354
17,106,0.058823529411764705,1.0,1.0,1.0,0.8235294117647058,0.0,1.0,1.0,0.23529411764705882,0.058823529411764705,0.5882352941176471,0.11764705882352941,0.0,0.9411764705882352,0.05882352941176483,0.7450980392156863,-0.7450980392156863,0.23529411764705885,-0.17647058823529416,1.0
17,107,0.058823529411764705,1.0,1.0,1.0,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.0,0.0,0.058823529411764705,0.7058823529411765,0.2941176470588235,0.0588235294117647,6.938893903907228e-18,0.0196078431372549,0.09803921568627451,0.9411764705882353
17,108,1.0,1.0,1.0,1.0,1.0,0.0,0.6470588235294118,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.8823529411764706,-0.8823529411764706,1.0,-1.0,1.0
17,109,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,1.0
17,110,1.0,1.0,0.8823529411764706,1.0,1.0,0.0,1.0,0.9411764705882353,1.0,0.0,1.0,1.0,1.0,0.9607843137254902,0.039215686274509776,0.9803921568627452,-0.9803921568627452,1.0,-1.0,1.0
17,111,0.47058823529411764,1.0,1.0,0.7647058823529411,1.0,0.0,0.0,0.11764705882352941,0.5882352941176471,0.0,0.058823529411764705,0.6470588235294118,0.29411764705882354,0.9215686274509803,0.07843137254901966,0.23529411764705885,-0.23529411764705885,0.3333333333333333,-0.3333333333333333,1.0
17,112,1.0,1.0,1.0,1.0,1.0,0.3529411764705882,1.0,1.0,1.0,0.058823529411764705,1.0,1.0,1.0,1.0,0.0,1.0,-0.6470588235294118,1.0,-0.9411764705882353,0.6470588235294118
17,113,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.058823529411764705,1.0,0.058823529411764705,1.0,0.8823529411764706,1.0,1.0,0.0,0.6862745098039215,-0.6862745098039215,0.9607843137254902,-0.9019607843137255,1.0
17,114,0.1764705882352941,1.0,0.9411764705882353,0.5294117647058824,1.0,0.0,0.1764705882352941,1.0,1.0,0.058823529411764705,1.0,0.8235294117647058,0.058823529411764705,0.823529411764706,0.17647058823529405,0.7254901960784315,-0.7254901960784315,0.6274509803921569,-0.5686274509803921,1.0
17,115,0.6470588235294118,1.0,1.0,0.11764705882352941,1.0,0.058823529411764705,0.23529411764705882,1.0,1.0,0.058823529411764705,0.1764705882352941,0.7058823529411764,1.0,0.7058823529411765,0.2941176470588235,0.7450980392156863,-0.6862745098039216,0.6274509803921569,-0.5686274509803921,0.9411764705882353
17,116,1.0,1.0,1.0,0.8235294117647058,1.0,0.1764705882352941,1.0,1.0,0.5294117647058824,0.0,1.0,1.0,1.0,0.9411764705882352,0.05882352941176483,0.8431372549019608,-0.6666666666666667,1.0,-1.0,0.8235294117647058
17,117,1.0,1.0,1.0,0.11764705882352941,1.0,0.0,1.0,1.0,1.0,0.0,0.7058823529411764,1.0,0.5294117647058824,0.7058823529411765,0.2941176470588235,1.0,-1.0,0.7450980392156863,-0.7450980392156863,1.0
17,118,1.0,1.0,0.9411764705882353,1.0,1.0,0.0,1.0,1.0,1.0,0.058823529411764705,1.0,1.0,1.0,0.9803921568627452,0.019607843137254832,1.0,-1.0,1.0,-0.9411764705882353,1.0
17,119,1.0,1.0,0.5294117647058824,0.9411764705882353,0.6470588235294118,0.0,0.8823529411764706,0.5294117647058824,1.0,0.058823529411764705,1.0,1.0,1.0,0.7058823529411765,0.2941176470588235,0.8039215686274509,-0.8039215686274509,1.0,-0.9411764705882353,1.0
23,100,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,1.0
23,101,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.043478260869565216,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,-0.9565217391304348,1.0
23,102,0.34782608695652173,1.0,1.0,1.0,0.5652173913043478,0.0,1.0,0.17391304347826086,1.0,0.043478260869565216,0.8695652173913043,0.43478260869565216,0.6086956521739131,0.8550724637681159,0.14492753623188415,0.7246376811594203,-0.7246376811594203,0.6376811594202899,-0.5942028985507247,1.0
23,103,1.0,1.0,0.8695652173913043,1.0,1.0,0.0,1.0,1.0,1.0,0.043478260869565216,1.0,1.0,1.0,0.9565217391304347,0.0434782608695653,1.0,-1.0,1.0,-0.9565217391304348,1.0
23,104,0.9565217391304348,1.0,0.8260869565217391,1.0,1.0,0.0,1.0,1.0,1.0,0.043478260869565216,1.0,1.0,1.0,0.9420289855072465,0.05797101449275355,1.0,-1.0,1.0,-0.9565217391304348,1.0
23,105,0.0,1.0,1.0,0.9130434782608695,1.0,0.0,0.0,0.9130434782608695,1.0,0.043478260869565216,0.6956521739130435,0.0,0.0,0.9710144927536232,0.02898550724637683,0.6376811594202899,-0.6376811594202899,0.2318840579710145,-0.18840579710144928,1.0
23,106,1.0,1.0,1.0,0.9565217391304348,0.6521739130434783,0.0,0.9565217391304348,0.6086956521739131,1.0,0.0,1.0,1.0,1.0,0.8695652173913043,0.13043478260869568,0.8550724637681159,-0.8550724637681159,1.0,-1.0,1.0
23,107,1.0,1.0,0.9565217391304348,1.0,1.0,0.0,1.0,1.0,1.0,0.08695652173913043,1.0,1.0,1.0,0.9855072463768115,0.01449275362318847,1.0,-1.0,1.0,-0.9130434782608696,1.0
23,108,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9130434782608695,1.0,0.0,1.0,1.0,0.08695652173913043,1.0,0.0,0.9710144927536232,-0.9710144927536232,0.6956521739130435,-0.6956521739130435,1.0
23,109,1.0,1.0,1.0,1.0,1.0,0.5652173913043478,1.0,1.0,1.0,0.043478260869565216,1.0,1.0,1.0,1.0,0.0,1.0,-0.4347826086956522,1.0,-0.9565217391304348,0.4347826086956522
